Tahun,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,Kolom1,SPEED,DOOR,WHEELS,CBU / CKD,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2022,MORRIS GARAGE,5 GT Magnify  1.5L,1498,CVT,G,45,1233,0,215/50 R17,114,2680,4675 x  1842 x  1480,5,4X2,FF,8,5,4,CBU,Thailand,0,0,0,0,0,0,0,0,53,14,42,21
2022,TOYOTA,VIOS 1.5 E,1500,MT,G,42,1060,0,195/50 R16,109 / 6000,2550,4410X1700X1475,5,4X2,FF,0,4,4,CKD,INA,0,0,12,3,0,0,0,1,0,0,0,0
2022,TOYOTA,VIOS 1.5 G,1500,MT,G,42,1060,0,195/50 R16,109 / 6000,2550,4410X1700X1475,5,4X2,FF,0,4,4,CKD,INA,4,0,1,10,0,1,0,0,0,0,0,0
2022,TOYOTA,VIOS 1.5 G A/T FMC,1500,AT,G,42,1080,0,195/50 R16,109 / 6000,2550,4410X1700X1475,5,4X2,FF,0,4,4,CKD,INA,0,0,0,0,0,0,0,0,0,0,25,72
2022,TOYOTA,Vios  G AT,1500,AT,G,42,1080,0,195/50 R16,109 / 6000,2550,4410X1700X1475,5,4X2,FF,0,4,4,CKD,INA,35,13,10,1,10,21,18,13,0,0,0,0
2022,AUDI,A5 2.0 TFSI,1984,AT,G,63,1465,3778,255/35/R18,211,2810,4625 x  1884 x  1372,5,4X4,4WD,0,2,4,CBU,Germany,0,0,0,0,0,0,1,1,0,0,1,1
2022,AUDI,A5 2.0 TFSI A/T SB,1984,AT,G,54,1490,0,245/40/R18,190,2824,4757 x  1843 x  1386,5,4X2,FF,241,5,4,CBU,Germany,0,0,1,0,0,0,0,2,1,0,0,2
2022,AUDI,A6 2.0TFSI AT,1984,AT,G,65,1635,3667,245/45/R18,180,2912,4915 x  1874 x  1455,5,4X2,FF,226,4,4,CBU,Germany,1,0,0,0,0,1,0,0,1,0,0,2
2022,AUDI,RS4 2.9 TFSI A/T,2900,AT,G,58,0,0,0,0,0,0,5,4X4,4WD,0,5,4,CBU,Germany,0,0,0,2,0,1,1,0,0,0,0,0
2022,AUDI,RS5 2.9 TFSI A/T,2900,AT,G,61,0,0,0,0,0,0,5,4X4,4WD,0,5,4,CBU,Germany,0,0,0,0,0,0,0,0,0,0,0,0
2022,BMW,218i Gran Coupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,0,0,43,30,38,32,24,45,5
2022,BMW,220i Coupe A/T,1998,AT,G,52,1965,0,225/45 R18 95Y; 255/40 R18 99Y,184,2741,4537 x  1838 x  1390,0,4X2,FR,0,0,4,CBU,Germany,0,0,0,0,0,0,0,7,2,0,0,1
2022,BMW,320i CKD A/T,1998,AT,G,59,2050,0,225/45 R18 95Y,184,2851,4709x1827x1435,0,4X2,FR,0,0,4,CKD,INA,41,22,47,64,8,28,18,14,16,23,1,9
2022,BMW,330i CKD A/T,1998,AT,G,59,2060,0,225/45 R18 95Y; 255/40 R18 99Y,258,2851,4709x1827x1435,0,4X2,FR,0,0,4,CKD,INA,0,18,2,4,0,24,40,6,47,25,1,1
2022,BMW,320i CKD0A7 A/T,1998,AT,G,59,2070,0,225/45 R18 95Y; 255/40 R18 99Y,184,2851,4713 x  1827 x  1440,5,4X2,FR,0,4,4,CKD,INA,0,0,0,0,0,0,0,0,0,0,0,48
2022,BMW,330i CKD B7 A/T,1998,AT,G,59,2080,0,225/40 R19 93Y; 255/35 R19 96Y,258,2851,4713 x  1827 x  1440,5,4X2,FR,0,4,4,CKD,INA,0,0,0,0,0,0,0,0,0,0,0,22
2022,BMW,M3 A/T,2993,AT,G,59,2210,0,275/35 ZR19 100Y; 285/30 ZR20 99,510,2857,4794 x  1903 x  1433,0,4X2,FR,0,0,4,CBU,Germany,0,0,2,3,1,8,10,6,0,0,0,0
2022,BMW,M4 CSL A/T,2993,AT,G,59,1970,0,275/35 ZR19 100Y; 285/30 ZR20 99,551,2857,4794 x  1921 x  1386,2,4X2,FR,0,2,4,CBU,Germany,0,0,0,0,0,0,0,0,0,0,0,1
2022,BMW,M4 Coupe A/T,2993,AT,G,59,2155,0,275/35 ZR19 100Y; 285/30 ZR20 99,510,2857,4794 x  1887 x  1393,0,4X2,FR,0,0,4,CBU,Germany,0,0,12,1,1,6,4,11,0,6,37,25
2022,BMW,430i Convertible A/T,1998,AT,G,59,2200,0,225/40 R19 93Y; 255/35 R19 96Y,258,2851,4768 x  1852 x  1384,0,4X2,FR,0,0,4,CBU,Germany,0,0,6,3,0,7,2,6,1,0,0,0
2022,BMW,430i Coupe A/T,1998,AT,G,59,2030,0,225/40 R19 93Y; 255/35 R19 96Y,258,2851,4768 x  1852 x  1383,0,4X2,FR,0,0,4,CBU,Germany,0,0,7,6,0,7,5,6,2,8,0,0
2022,BMW,530i CKD A/T,1998,AT,G,68,3205,0,245/40 R19 98Y; 275/35 R19 100Y,252,2975,4963 x  1868 x   1479,0,4X2,FR,0,0,4,CKD,INA,0,7,30,8,2,1,19,5,0,0,0,1
2022,BMW,530i Touring RHD A/T,1998,AT,G,68,2425,0,245/40 R19 98Y; 275/35 R19 100Y,252,2975,4963 x  1868 x  1498,0,4X2,FR,0,0,4,CBU,Germany,0,0,0,0,0,5,17,2,1,0,0,0
2022,BMW,520i G30 CKD A/T,1998,AT,G,68,2285,0,245/40 R19 98Y; 275/35 R19 100Y,184,2975,4963 x  1868 x   1479,0,4X2,FR,0,0,4,CKD,INA,44,14,2,24,1,23,2,15,30,3,2,20
2022,BMW,72AG 520I,1998,AT,G,0,0,0,0,0,0,0,0,0,0,0,0,4,CBU,Germany,0,0,0,0,0,0,2,0,0,0,0,0
2022,BMW,730Li G12 CKD A/T,1998,AT,G,78,2445,0,245/40 R20 99Y; 275/35 R20 102Y,265,3210,5260x1902x1479,0,4X2,FR,0,0,4,CKD,INA,10,1,1,0,0,1,16,11,19,5,0,1
2022,BMW,740Li A/T,2998,AT,G,78,2500,0,245/40 R20 99Y; 275/35 R20 102Y,340,3210,5260x1902x1479,0,4X2,FR,0,0,4,CBU,Germany,0,0,0,0,0,1,0,0,0,0,0,0
2022,BMW,Z4 sDrive30i A/T,1998,AT,G,52,1740,0,255/40 ZR18 95Y; 275/40 ZR18 99,258,2470,4324x1864x1304,0,4X2,FR,0,2,4,CBU,Germany,0,0,6,0,0,16,1,2,0,0,0,0
2022,BMW,Z4 M40i A/T,2998,AT,G,52,1860,0,255/35 ZR19 96Y; 275/35 ZR19 100,387,2470,4324 x  1864 x  1304,0,4X2,FR,0,0,4,CBU,Germany,0,0,0,0,0,0,0,13,1,0,0,0
2022,BMW,840i Coupe A/T,2998,AT,G,68,2225,0,245/35 R20 95Y; 275/30 R20 97Y,340,2822,4843x1902x1341,0,4X2,FR,0,0,4,CBU,Germany,0,0,2,3,0,0,1,8,1,6,1,0
2022,BMW,840i Gran Coupe A/T,2998,AT,G,68,2435,0,245/35 R20 95Y; 275/30 R20 97Y,340,3023,5074x1932x1401,0,4X2,FR,0,0,4,CBU,Germany,0,0,1,2,0,0,1,2,0,1,0,0
2022,HONDA,New  ACCORD VTi0L,2354,CVT,G,65,1525,0,0,176,2275,4870 x  1850 x  1465,5,4X2,FF,0,4,4,CBU,Thailand,34,28,40,46,31,30,0,20,22,7,29,12
2022,LEXUS,ES 250,2494,AT,G,0,0,0,0,181 / 6000,0,4900X1820X1450,4,4X2,FR,0,4,4,CBU,Japan,0,0,0,0,0,0,0,0,0,0,0,0
2022,LEXUS,ES 300 h,2494,AT,HYBRID,65,0,0,215 / 55 R17,202 / 5700,2820,4900X1820X1450,4,4X2,FR,0,4,4,CBU,Japan,0,11,25,15,8,16,20,50,0,11,2,2
2022,LEXUS,ES 300h Ultra Luxury,2494,AT,HYBRID,65,0,0,215 / 55 R17,202 / 5700,2820,4900X1820X1450,4,4X2,FR,0,4,4,CBU,Japan,0,0,0,0,0,0,0,0,0,0,0,0
2022,MAZDA,MX05 RF,1999,AT,G,50,0,3863,205/45R17,160,2330,4020 x  1720 x  1255,2,4X2,FF,0,4,4,CBU,Japan,0,0,0,0,0,0,0,0,0,0,4,0
2022,MAZDA,All New  Mazda 3 Sedan,1998,AT,G,51,0,0,215/45R18,155,2725,"4,660 x  1,795 x  1,440",5,4X2,FF,0,5,4,CBU,Japan,0,0,0,4,0,1,3,1,5,14,0,9
2022,MAZDA,All0new  Mazda 6 Elite,2488,AT,G,64,0,4056,225/45R19,187,2830,4865 x  1840 x  1450,5,4X2,FF,0,4,4,CBU,Japan,0,0,0,0,0,0,0,0,0,0,0,0
2022,MERCEDES0BENZ PC,CLA  200 AMG Line (C117),1556,AT,G,50,1920,7,225/40 R18,156,2669,"4,669 x  2,032 x  1,427",5,4X2,FF,0,4,4,CKD,0,1,0,0,10,12,1,1,0,0,0,0,42
2022,MERCEDES0BENZ PC,A  200,1991,AT,G,41,2030,7,225/50 R17,184,2840,"4,686 x  2,020 x  1,442",5,4X2,FR,0,4,4,CKD,INA,20,2,17,2,4,4,16,21,4,0,1,24
2022,MERCEDES0BENZ PC,C180,1991,AT,G,41,2030,7,225/50 R17,184,2840,"4,686 x  2,020 x  1,442",5,4X2,FR,0,4,4,CKD,INA,0,1,0,0,0,1,0,2,0,0,0,0
2022,MERCEDES0BENZ PC,C 200 AMG,1991,AT,G,66,2030,9,"225/45, 245/40 R18",184,2840,"4,686 x  2,020 x  1,442",5,4X2,FR,0,4,4,CKD,INA,0,0,0,0,0,1,0,0,0,0,0,0
2022,MERCEDES0BENZ PC,C 300 AMG,1991,AT,G,66,2135,9,"225/45, 245/40 R18",258,2840,"4,702 x  2,020 x  1,432",5,4X2,FR,0,4,4,CKD,INA,0,0,0,0,0,0,0,0,0,0,0,0
2022,MERCEDES0BENZ PC,E 200 AVA,1991,AT,G,66,2265,9,245/45 R18,184,2939,"4,686 x  2,065 x  1,468",5,4X2,FR,0,4,4,CKD,INA,24,20,14,13,15,10,0,12,10,2,19,27
2022,MERCEDES0BENZ PC,E 200 Coupe   (C238)*,2999,AT,G,0,0,0,0,0,0,0,0,4X4,4WD,0,0,0,CBU,0,0,0,1,0,0,0,0,0,0,2,0,0
2022,MERCEDES0BENZ PC,E 250 AVA,1991,AT,G,66,2255,9,245/45 R18,211,2939,"4,686 x  2,065 x  1,468",5,4X2,FR,0,4,4,CKD,INA,0,0,0,0,0,0,0,0,0,0,0,0
2022,MERCEDES0BENZ PC,E 300 AMG,1991,AT,G,66,2295,9,"245/40, 275/35 R19",258,2939,"4,702 x  2,065 x  1,452",5,4X2,FR,0,4,4,CKD,INA,23,14,34,38,27,8,20,23,5,17,5,45
2022,MERCEDES0BENZ PC,E 300 AVA,1991,AT,G,66,2395,9,245/45 R18,258,2939,"4,686 x  2,065 x  1,468",5,4X2,FR,0,4,4,CKD,INA,0,0,0,0,0,0,0,0,0,0,0,0
2022,MERCEDES0BENZ PC,E 350 AMG,1991,AT,G,66,2410,9,"245/40, 275/35 R19",299,2939,"4,702 x  2,065 x  1,452",5,4X2,FR,0,4,4,CKD,INA,0,1,0,0,0,0,0,0,0,0,0,0
2022,MERCEDES0BENZ PC,C 200 Cabrio,1991,AT,G,66,2190,9,245/45 R18,204,2840,"4,702 x  2,020 x  1,457",5,4X2,FR,0,5,4,CBU,0,0,0,0,0,0,0,0,0,0,0,0,5
2022,MERCEDES0BENZ PC,S 450 (CBU),3000,0,G,0,0,0,0,0,0,0,0,0,0,0,0,0,CBU,0,0,0,0,0,0,0,0,1,0,0,0,0
2022,MERCEDES0BENZ PC,CLS 350 AMG,1991,AT,G,66,2410,9,"245/35, 275/30 R20",299,2939,"4,996 x  2,069 x  1,436",5,4X2,FR,0,4,4,CBU,0,0,0,0,0,0,5,1,0,6,5,0,1
2022,MERCEDES0BENZ PC,C 300 AMG Line (W206),1998,AT,G,66,0,0,0,0,0,0,4,4X2,FR,0,4,4,CKD,0,0,0,0,0,0,23,40,44,8,23,44,53
2022,MERCEDES0BENZ PC,AMG CLA  45 S Shooting Brake (X118),1998,0,0,0,0,0,0,0,0,0,0,4X2,0,0,4,4,CBU,0,0,0,0,0,0,7,0,1,0,0,1,0
2022,SUBARU,BRZ 2.0 MT (ZD8),2387,AT,G,63,1670,0,215/40 R18,237,2575,"4,265 x  1,775 x  1,310",4,4X2,FR,0,2,4,CBU,Japan,0,0,0,0,0,0,0,0,2,2,4,4
2022,SUBARU,BRZ 2.0 AT (ZD8),2387,AT,G,63,1700,0,215/40 R18,237,2575,"4,265 x  1,775 x  1,310",4,4X2,FR,0,2,4,CBU,Japan,0,0,0,0,0,0,0,0,4,7,3,0
2022,TOYOTA,All New  Corolla Altis  V  AT,1800,AT,G,55,1270,5,21545R17,151 / 6400,2700,4620X1776X1460,5,4X2,FF,0,4,4,CBU,Thailand,0,71,11,49,35,34,21,19,161,301,76,72
2022,TOYOTA,All New  Corolla Altis  1.8 Hybrid AT,1800,AT,HYBRID,55,1250,4,205/55R16,151 / 6400,2700,4620X1776X1460,5,4X2,FF,0,4,4,CBU,Thailand,0,18,17,30,14,7,22,22,15,18,14,19
2022,TOYOTA,All New  Camry  2.5 G,2500,AT,G,70,1465,3815,215/60R16,181 / 6000,2775,4825X1825X1470,5,4X2,FF,0,4,4,CBU,Thailand,0,0,0,0,0,0,0,0,0,0,0,0
2022,TOYOTA,All New  Camry  2.5 V,2500,AT,G,70,1465,3815,215/55R17,181 / 6000,2775,4825X1825X1470,5,4X2,FF,0,4,4,CBU,Thailand,29,91,60,54,28,52,73,87,127,123,85,78
2022,TOYOTA,All New  Camry  2.5 Hybrid Mi,2500,AT,HYBRID,65,1625,3542,215/55R17,156.6 /5700,2775,4825X1825X1470,5,4X2,FF,0,4,4,CBU,Thailand,17,60,42,36,19,9,12,15,2,18,28,26
2022,TOYOTA,Supra 3.0 A/T,2459,AT,G,50,0,0,0,0,0,0,5,4X2,FR,6,4,4,CBU,Japan,0,2,0,0,0,0,0,0,0,0,0,5
2022,TOYOTA,86 MT,2000,MT,G,50,0,0,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,0,4,4,CBU,Japan,0,0,0,0,0,0,0,0,0,0,0,0
2022,BMW,M5 A/T,4395,AT,G,68,2440,0,75/35 ZR20 102Y; 285/35 ZR20 10,625,2982,4983 x  1903 x  1473,0,4X4,4WD,0,0,4,CBU,Germany,0,0,0,0,0,0,0,0,0,1,0,0
2022,LEXUS,LS 500 Executive,3445,AT,G,0,2760,0,245 / 45 R20,0,3125,5235X1900X1450,4,4X2,FR,10,4,4,CBU,Japan,0,0,2,0,0,0,0,2,0,0,0,0
2022,LEXUS,LS 500 Hybrid,3445,AT,HYBRID,0,0,0,245 / 45 R20,0,0,5235X1900X1450,0,4X2,FR,0,0,0,CBU,Japan,0,0,1,0,0,0,1,1,0,2,2,2
2022,LEXUS,LC 500,4969,AT,G,66,2870,0,0,471 / 7100,2730,4770X1920X1345,2,4X2,FR,0,2,4,CBU,Japan,0,0,0,0,0,0,0,0,0,0,2,1
2022,MERCEDES0BENZ PC,S 560 (X222)*,3982,AT,G,80,2815,9,0,469,3365,"5,462 x  2,130 x  1,498",4,4X2,FR,0,4,4,CBU,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,MERCEDES0BENZ PC,AMG GT Black Series,3982,AT,G,65,1890,9,0,522,2630,"4,544 x  2,075 x  1,288",2,4X2,FR,0,2,4,CBU,0,0,0,0,0,0,1,0,0,0,1,0,0
2022,MERCEDES0BENZ PC,GT 53 4MATIC+ (X290)*,3982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CBU,0,0,0,1,0,1,2,3,3,1,3,1,1
2022,MERCEDES0BENZ PC,Maybach S 580 (Z223)*,3982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CBU,0,0,0,0,0,0,0,0,0,0,0,7,3
2022,BMW,X1 sDrive18i F48 A/T,1499,AT,G,61,2025,0,225/50 R18 95W,140,2670,4447x1821x1598,0,4X2,FF,0,0,4,CKD,INA,48,34,27,67,36,8,22,43,23,5,3,2
2022,BMW,X2 sDrive18i A/T,1499,AT,G,0,2005,0,225/45 R19 92W,0,2670,4360x1824x1526,0,4X2,FF,0,0,0,CBU,Germany,0,0,0,0,0,0,0,0,0,0,0,0
2022,DAIHATSU,Grand New  Xenia 1.3 X MT,1329,MT,G,45,1120,5125,185/70R14,97,2655,4190X1660X1695,7,4X2,FR,0,5,4,CKD,INA,64,333,194,105,0,29,91,186,172,318,216,270
2022,DAIHATSU,All New  Xenia 1.3 M MT,1329,MT,G,43,1705,5545,185/65R15,97,2750,4395X1730X1690,7,4X2,FF,0,5,4,CKD,INA,37,135,89,63,11,64,16,86,85,98,112,31
2022,DAIHATSU,All New  Xenia 1.3 X MT,1329,MT,G,43,1705,5545,185/65R15,97,2750,4395X1730X1690,7,4X2,FF,0,5,4,CKD,INA,958,822,962,340,3,90,174,1025,861,951,766,682
2022,DAIHATSU,All New  Xenia 1.3 X CVT,1329,AT,G,43,1705,5105,185/65R15,97,2750,4395X1730X1690,7,4X2,FF,0,5,4,CKD,INA,431,662,240,168,6,67,45,332,446,489,387,182
2022,DAIHATSU,All New  Xenia 1.3 R MT,1329,MT,G,43,1705,5545,185/65R15,97,2750,4395X1730X1690,7,4X2,FF,0,5,4,CKD,INA,672,613,624,456,35,477,624,134,740,511,395,654
2022,DAIHATSU,All New  Xenia 1.5 R MT,1496,MT,G,43,1705,5077,195/60R16,106,2750,4395X1730X1700,7,4X2,FF,0,5,4,CKD,INA,137,199,45,55,5,131,106,43,65,18,48,51
2022,DAIHATSU,All New  Xenia 1.5 R CVT,1496,AT,G,43,1705,5105,195/60R16,106,2750,4395X1730X1700,7,4X2,FF,0,5,4,CKD,INA,276,298,20,41,0,13,1,10,29,64,103,67
2022,DAIHATSU,All New  Xenia 1.5 R ASA  CVT,1496,AT,G,43,1705,5105,195/60R16,106,2750,4395X1730X1700,7,4X2,FF,0,5,4,CKD,INA,278,186,18,21,0,0,0,0,15,10,7,9
2022,DAIHATSU,New  Sirion 1.3 MT 2022,1329,MT,G,40,940,4032,175/65R14,90,2440,3690X1665X1545,5,4X2,FF,0,5,4,CBU,Malaysia,0,0,0,0,40,30,30,60,60,0,0,0
2022,DAIHATSU,New  Sirion 1.3 CVT 2022,1329,CVT,G,40,940,4032,175/65R14,90,2440,3690X1665X1545,5,4X2,FF,0,5,4,CBU,Malaysia,0,0,0,79,21,10,30,70,120,200,50,0
2022,DAIHATSU,Gran Max  BV  1.3,1298,MT,G,43,2000,5125,165R1308PR,88,2650,4045X1665X1900,2,4X2,FR,0,5,4,CKD,INA,851,651,746,932,536,1091,1042,956,1200,1190,642,437
2022,DAIHATSU,Gran Max  BV  1.5,1500,MT,G,43,2000,5125,165R1308PR,88,2650,4045X1665X1900,2,4X2,FR,0,5,4,CKD,INA,243,251,299,1,104,308,1,0,10,0,0,0
2022,DAIHATSU,Gran Max  MB 1.3 HI  FF,1298,MT,G,43,1840,5125,165R1308PR,88,2650,4045X1665X1900,8,4X2,FR,0,5,4,CKD,INA,145,28,94,17,19,40,48,88,107,80,69,120
2022,DAIHATSU,Gran Max  MB 1.3 HI,1298,MT,G,43,1840,5125,165R1308PR,88,2650,4045X1665X1900,9,4X2,FR,0,5,4,CKD,INA,200,52,149,142,78,169,122,164,219,225,319,461
2022,DAIHATSU,Gran Max  MB 1.5 HI,1495,MT,G,43,1840,4875,165R1308PR,88,2650,4045X1665X1900,9,4X2,FR,0,5,4,CKD,INA,177,29,95,34,31,169,96,103,141,187,238,260
2022,DAIHATSU,Luxio 1.5 D (New ),1495,MT,G,43,1290,5152,195/65R15,97,2650,4215X1710X1915,8,4X2,FR,0,5,4,CKD,INA,31,58,55,69,35,50,33,16,23,50,68,60
2022,DAIHATSU,Luxio 1.5 X MT (New ),1495,MT,G,43,1320,5152,195/65R15,97,2650,4215X1710X1915,8,4X2,FR,0,5,4,CKD,INA,73,184,212,150,21,78,75,115,88,101,171,168
2022,DAIHATSU,Luxio 1.5 X AT (New ),1495,AT,G,43,1320,5152,195/65R15,97,2650,4215X1710X1915,8,4X2,FR,0,5,4,CKD,INA,29,65,64,93,5,10,20,35,34,57,79,59
2022,DAIHATSU,Luxio 1.5 AK MT,1495,MT,G,43,1320,5152,195/65R15,97,2650,4215X1710X1915,2,4X2,FR,0,5,4,CKD,INA,5,5,3,5,2,2,3,3,5,3,1,3
2022,DAIHATSU,All New  Terios  IDS X MT,1496,MT,G,45,1245,5571,215/65/R16,104,2685,4435X1695X1705,7,4X2,FR,0,5,4,CKD,INA,996,1006,1700,1064,458,890,1004,639,1428,648,1258,2063
2022,DAIHATSU,All New  Terios  IDS X AT,1496,AT,G,45,1255,5857,215/65/R16,104,2685,4435X1695X1705,7,4X2,FR,0,5,4,CKD,INA,362,272,591,376,191,322,118,30,284,177,346,592
2022,DAIHATSU,All New  Terios  IDS R,1496,MT,G,45,1260,5571,215/60/R17,104,2685,4435X1695X1705,7,4X2,FR,0,5,4,CKD,INA,594,625,1050,615,61,70,328,242,317,334,599,562
2022,DAIHATSU,All New  Terios  IDS R,1496,AT,G,45,1270,5857,215/60/R17,104,2685,4435X1695X1705,7,4X2,FR,0,5,4,CKD,INA,434,253,396,412,48,15,52,33,206,231,168,333
2022,DAIHATSU,All New  Terios  IDS Custom MT,1496,MT,G,45,1260,5571,215/60/R17,104,2685,4435X1695X1705,7,4X2,FR,0,5,4,CKD,INA,2,2,2,2,2,3,1,0,0,0,2,0
2022,DAIHATSU,All New  Terios  IDS Custom AT,1496,AT,G,45,1270,5857,215/60/R17,104,2685,4435X1695X1705,7,4X2,FR,0,5,4,CKD,INA,2,2,2,2,2,3,1,0,0,0,2,0
2022,DAIHATSU,Rocky  1.0 R ASA  CVT,998,AT,G,36,1680,5105,205/60/R17,98,2525,4030X1710X1635,5,4X2,FR,0,5,4,CKD,INA,42,24,50,128,8,31,35,0,23,40,19,15
2022,DAIHATSU,Rocky  1.0 R CVT,998,AT,G,36,1680,5105,205/60/R17,98,2525,4030X1710X1635,5,4X2,FR,0,5,4,CKD,INA,84,44,162,364,21,67,0,0,10,110,30,48
2022,DAIHATSU,Rocky  1.0 R MT,998,MT,G,36,1680,5462,205/60/R17,98,2525,4030X1710X1635,5,4X2,FR,0,5,4,CKD,INA,2,0,0,92,0,37,5,23,58,15,10,17
2022,DAIHATSU,Rocky  1.2 X CVT,1200,AT,G,36,1680,5105,205/65/R16,88,2525,4030X1710X1635,5,4X2,FR,0,5,4,CKD,INA,384,399,637,391,43,218,429,447,519,352,184,137
2022,DAIHATSU,Rocky  1.2 X MT,1200,MT,G,36,1680,5462,205/65/R16,88,2525,4030X1710X1635,5,4X2,FR,0,5,4,CKD,INA,3,0,10,128,44,821,452,218,195,34,1,0
2022,DAIHATSU,Rocky  1.2 M CVT,1200,AT,G,36,1680,5105,205/65/R16,88,2525,4030X1710X1635,5,4X2,FR,0,5,4,CKD,INA,0,4,0,36,15,127,148,0,50,10,0,0
2022,DAIHATSU,Rocky  1.2 M MT,1200,MT,G,36,1680,5462,205/65/R16,88,2525,4030X1710X1635,5,4X2,FR,0,5,4,CKD,INA,1,0,0,100,0,40,74,0,30,10,22,9
2022,DFSK,GLORY  580 1.5T A/T CVT COMFORT,1498,AT,G,58,2035,0,226/60R17,150,2780,4680 X 1845 X 1715,7,4X2,FF,0,4,4,CKD,INA,0,0,0,0,0,1,0,0,0,0,13,0
2022,DFSK,GLORY  580 1.5T M/T LUXURY,1498,MT,G,58,2035,0,226/60R17,150,2780,4680 X 1845 X 1715,7,4X2,FF,0,4,4,CKD,INA,0,0,0,0,0,1,0,0,0,0,0,0
2022,DFSK,GLORY  580 1.5T A/T CVT LUXURY,1498,AT,G,58,2035,0,226/60R17,150,2780,4680 X 1845 X 1715,7,4X2,FF,0,4,4,CKD,INA,0,0,0,10,30,2,0,0,0,0,0,0
2022,DFSK,GLORY  580 1.5 M/T COMFORT,1498,MT,G,58,2035,0,225/60R17,150,2780,4680 X 1845 X 1715,7,4X2,FF,0,4,4,CKD,INA,0,0,0,0,0,1,0,0,0,0,0,0
2022,DFSK,GLORY  560 1.5T 6M/T LUXURY,1498,MT,G,50,2005,0,215/60R17,150,2690,4515 X 1815 X 1735,7,4X2,FF,0,4,4,CKD,INA,0,0,0,0,0,0,0,0,0,0,0,10
2022,DFSK,GLORY  560 1.5T A/T CVT LUXURY,1498,AT,G,50,2005,0,215/60R17,150,2690,4515 X 1815 X 1735,7,4X2,FF,0,4,4,CKD,INA,12,3,0,10,6,51,21,5,20,0,1,36
