Tahun,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS,,SPEED,DOOR,WHEELS,CBU / CKD,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL
2025,AUDI,A5 20 TFSI,1984000000000.000,AT,G,63,1465000000000.000,3778000000000.000,255/35/R18,211,2810000000000.000,4625 x 1884 x 1372,5,4X4,4WD,-,2,4,CBU,Germany,-,-,-,-,-,-,-
2025,AUDI,A5 20 TFSI A/T SB,1984000000000.000,AT,G,54,1490000000000.000,-,245/40/R18,190,2824000000000.000,4757 x 1843 x 1386,5,4X2,FF,241,5,4,CBU,Germany,-,-,-,-,-,-,-
2025,AUDI,A4 20 TFSI A/T,1984000000000.000,AT,G,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CBU,Germany,-,1.00,-,-,-,-,-
2025,BMW,218i Gran Coupe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.00,7.00,1.00,-,-,-
2025,BMW,220i Coupe AT,1998000000000.000,AT,G,52,1965000000000.000,-,225/45 R18 95Y; 255/40 R18 99Y,184,2741000000000.000,4537 x 1838 x 1390,-,4X2,FR,-,-,4,CBU,Germany,-,1.00,1.00,-,-,-,-
2025,BMW,320i CKD AT,1998000000000.000,AT,G,59,2050000000000.000,-,225/45 R18 95Y,184,2851000000000.000,4709x1827x1435,-,4X2,FR,-,-,4,CKD,INA,1.00,-,14.00,5.00,28.00,1.00,-
2025,BMW,330i CKD B7 AT,1998000000000.000,AT,G,59,2080000000000.000,-,225/40 R19 93Y; 255/35 R19 96Y,258,2851000000000.000,4713 x 1827 x 1440,5,4X2,FR,-,4,4,CKD,INA,-,2.00,-,2.00,30.00,3.00,3.00
2025,BMW,330I 62FY A/T,1998000000000.000,AT,G,59,1600000000000.000,-,5/40 R19 93 Y XL;255/40 R18 99 Y X,245,2851,4713 x 1827 x 1440,5,4X2,FR,-,5,4,CBU,Germany,-,-,-,-,,,
2025,BMW,M2 Coupe RHD MX AT,2993000000000.000,AT,G,52,2155000000000.000,-,275/35 ZR19 100Y; 285/30 ZR20 99Y,460,2747000000000.000,4580 x 1887 x 1403,-,4X2,FR,-,-,4,CBU,Germany,2.00,5.00,3.00,4.00,1.00,-,8.00
2025,BMW,M3 Competition M xDrive T AT,2993000000000.000,AT,G,59,2370000000000.000,-,275/35 ZR19 100Y; 285/30 ZR20 99Y,510,2857000000000.000,4801 x 1903 x 1446,-,4X4,4WD,-,-,4,CBU,Germany,1.00,8.00,2.00,1.00,-,1.00,1.00
2025,BMW,M4 CS A/T,2993000000000.000,AT,G,-,1754000000000.000,-,275/35 ZR19 100Y;285/30 ZR20 99Y,551,2857000000000.000,4801 x 1918 x 1399,4,4X4,-,-,2,4,CBU,Germany,-,3.00,-,-,1.00,-,2.00
2025,BMW,430i Convertible AT,1998000000000.000,AT,G,-,-,-,-,-,-,4768 x 1852 x 1384,-,4X2,AWD,-,-,4,CBU,-,-,2.00,2.00,2.00,9.00,1.00,4.00
2025,BMW,430i AT,1998000000000.000,AT,G,59,1545,-,5/50 R17 98 Y XL;225/50 R17 98 Y X,245,2851,4768 x 1852 x 1383,4,4X2,FR,-,2,4,CBU,Germany,-,1.00,1.00,1.00,7.00,1.00,7.00
2025,BMW,M4 Convertible Competition M xDrive 32HK AT,2993000000000.000,AT,G,-,-,-,-,-,-,4801 x 1887 x 1398,-,4X4,AWD,-,-,4,CBU,-,-,-,-,-,4.00,5.00,2.00
2025,BMW,M4 Coupe Competition M xDrive 42BA AT,2993000000000.000,AT,G,-,-,-,-,-,-,4801 x 1887 x 1399,-,4X4,AWD,-,-,4,CBU,-,1.00,1.00,1.00,-,1.00,-,-
2025,BMW,520i G60 CKD AT,1998000000000.000,AT,G,60,2335000000000.000,-,-,190,2995000000000.000,5060 x1 900 x 1515,5,4X2,FR,-,-,4,CKD,INA,1.00,29.00,17.00,4.00,24.00,1.00,5.00
2025,BMW,530e,-,-,PHEV,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,Germany,1.00,-,-,-,-,-,-
2025,BMW,520i,1998000000000.000,AT,G,-,-,-,-,-,-,-,-,-,-,-,-,4,CBU,Germany,-,1.00,-,-,-,-,-
2025,BMW,i5 eDrive40,-,AT,BEV,-,2740000000000.000,-,245/40 R20 99Y;275/35 R20 102Y,340,2995000000000.000,5075 x 1900 x 1515,5,4X2,-,-,4,4,CBU,Germany,-,-,-,6.00,2.00,3.00,4.00
2025,BMW,i5 M60 xDrive A/T,-,AT,BEV,-,2305000000000.000,-,/45 R19 102 Y XL;275/40 R19 105 Y,601,2995,5060 x 1900 x 1505,5,4X4,AWD,-,4,4,CBU,Germany,1.00,-,-,-,-,-,-
2025,BMW,i5 eDrive40 (12HH) A/T,-,AT,BEV,-,2180000000000.000,-,55/35 R21 101 Y XL;275/40 R19 105,340,2995,5060 x 1900 x 1515,5,4X2,FR,-,5,4,CBU,Germany,-,-,1.00,-,1.00,1.00,3.00
2025,BMW,735i Limousine RHD A/T,2998000000000.000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,-,-,-,-,-,-,3.00,-,-,-
2025,BMW,735i Limousine RHD AT,2998000000000.000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,-,-,-,1.00,5.00,13.00,7.00,12.00,7.00,19.00
2025,BMW,Z4 sDrive30i AT,1998000000000.000,AT,G,52,1740000000000.000,-,255/40 ZR18 95Y; 275/40 ZR18 99Y,258,2470000000000.000,4324x1864x1304,-,4X2,FR,-,2,4,CBU,Germany,-,-,-,-,-,2.00,-
2025,BMW,Z4 M40i AT,2998000000000.000,AT,G,52,1860000000000.000,-,255/35 ZR19 96Y; 275/35 ZR19 100Y,387,2470000000000.000,4324 x 1864 x 1304,-,4X2,FR,-,-,4,CBU,Germany,-,12.00,1.00,1.00,1.00,-,2.00
2025,"HONDA
",Civic Type R,2000000000000.000,MT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,UK,-,-,2.00,2.00,-,-,1.00
2025,HYUNDAI HMID,Genesis G80,2500000000000.000,AT,G,65,2265000000000.000,-,245/45/R19,-,3010000000000.000,5005 x 1925 x 1475,5,4X2,-,-,5,4,CBU,South Korea,-,-,-,-,-,1.00,-
2025,LEXUS,ES 300 h,2494000000000.000,AT,HYBRID,65,-,-,215 / 55 R17,202 / 5700,2820000000000.000,4900X1820X1450,4,4X2,FR,-,4,4,CBU,Japan,-,-,6.00,4.00,4.00,3.00,2.00
2025,MAZDA,MX 5 RF AT,1999000000000.000,AT,G,50,-,3863000000000.000,205/45R17,160,2330000000000.000,4020 x 1720 x 1255,2,4X2,FF,-,4,4,CBU,Japan,-,5.00,2.00,8.00,2.00,1.00,1.00
2025,MAZDA,New MX 5 RF MT,1999000000000.000,MT,G,50,-,3863000000000.000,205/45R17,160,2330000000000.000,4020 x 1720 x 1255,2,4X2,FF,-,4,4,CBU,Japan,-,1.00,-,1.00,1.00,1.00,-
2025,MAZDA,Mazda 3 Sedan,1998000000000.000,AT,G,51,-,-,215/45R18,155,2725000000000.000,"4,660 x 1,795 x 1,440",5,4X2,FF,-,5,4,CBU,Japan,1.00,3.00,4.00,3.00,3.00,-,-
2025,MAZDA,Mazda 6 Elite Sedan,2488000000000.000,AT,G,64,-,4056000000000.000,225/45R19,187,2830000000000.000,4865 x 1840 x 1450,5,4X2,FF,-,4,4,CBU,Japan,2.00,4.00,-,-,1.00,2.00,1.00
2025,MERCEDES-BENZ PC,AMG A 35 4MATIC (V177),2000000000000.000,AT,G,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,-,5.00,-,-,2.00,2.00,-
2025,MERCEDES-BENZ PC,A 200,1991000000000.000,AT,G,41,2030000000000.000,7,225/50 R17,184,2840000000000.000,"4,686 x 2,020 x 1,442",5,4X2,FR,-,4,4,CKD,INA,2.00,2.00,-,1.00,-,-,-
2025,MERCEDES-BENZ PC,E 300 AMG,1991000000000.000,AT,G,66,2295000000000.000,9,"245/40, 275/35 R19",258,2939000000000.000,"4,702 x 2,065 x 1,452",5,4X2,FR,-,4,4,CKD,INA,-,-,-,-,-,1.00,1.00
2025,MERCEDES-BENZ PC,E 300 AVA,1991000000000.000,AT,G,66,2395000000000.000,9,245/45 R18,258,2939000000000.000,"4,686 x 2,065 x 1,468",5,4X2,FR,-,4,4,CKD,INA,-,-,-,-,-,-,-
2025,MERCEDES-BENZ PC,S 450,2996000000000.000,AT,G,80,2700000000000.000,9,"245/45, 275/40 R19",367,3165000000000.000,"5,255 x 2,130 x 1,494",5,4X2,FR,-,4,4,CKD,INA,1.00,2.00,2.00,5.00,1.00,4.00,3.00
2025,MERCEDES-BENZ PC,EQE 350 (V295),-,AT,BEV,-,-,-,-,-,-,-,5,4X2,FR,-,5,4,CBU,-,-,3.00,-,1.00,1.00,3.00,-
2025,MERCEDES-BENZ PC,EQS 450+ (V297),-,AT,BEV,-,-,9,245/45 R18,204,2840000000000.000,"4,702 x 2,020 x 1,457",5,4X2,FR,-,5,4,CBU,-,-,-,1.00,-,1.00,-,1.00
2025,MERCEDES-BENZ PC,C 300 AMG Line (W206),1998000000000.000,AT,G,66,-,-,-,-,-,-,4,4X2,FR,-,4,4,CKD,INA,2.00,3.00,1.00,-,5.00,2.00,18.00
2025,MERCEDES-BENZ PC,AMG CLA 45 S Shooting Brake (X118),1998000000000.000,-,-,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,-,-,-,-,-,-,-,-
2025,MERCEDES-BENZ PC,AMG C 63 S E Performance (W206),1991000000000.000,AT,G,66,-,9,-,500,-,-,4,4X4,4WD,-,4,4,CBU,-,-,-,-,-,-,-,1.00
2025,MERCEDES-BENZ PC,E 200 (W214) CKD,1998000000000.000,AT,G,66,-,9,-,204,-,-,4,4X2,RR,-,4,4,CKD,INA,26.00,24.00,14.00,6.00,1.00,17.00,4.00
2025,MERCEDES-BENZ PC,E 300 (W214) CKD,1998000000000.000,AT,G,66,-,9,-,258,-,-,4,4X2,RR,-,4,4,CKD,INA,2.00,6.00,9.00,3.00,11.00,4.00,16.00
2025,MERCEDES-BENZ PC,AMG SL 43,1999000000000.000,AT,G,-,-,9,-,-,-,-,4,4X2,FR,-,4,4,CBU,-,-,-,-,-,-,-,-
2025,MERCEDES-BENZ PC,CLE 300,1999000000000.000,AT,G,-,-,-,-,-,-,-,4,4X4,4WD,-,4,4,CBU,-,-,2.00,-,-,-,1.00,-
2025,SUBARU,BRZ 24 MT (ZD8),2387000000000.000,AT,G,50,1670000000000.000,-,215/40 R18,237,2575000000000.000,"4,265 x 1,775 x 1,310",4,4X2,FR,-,2,4,CBU,Japan,-,-,1.00,8.00,-,5.00,2.00
2025,SUBARU,BRZ 24 AT ES (ZD8),2387000000000.000,AT,G,50,1700000000000.000,-,215/40 R18,237,2575000000000.000,"4,265 x 1,775 x 1,310",4,4X2,FR,-,2,4,CBU,Japan,2.00,4.00,16.00,1.00,-,-,-
2025,SUBARU,WRX SEDAN 24 MT (VBH),2387000000000.000,MT,G,63,1556000000000.000,-,245/40 R18,275,2675000000000.000,"4,670 x 1,825 x 1,465",5,4X4,4WD,-,4,4,CBU,Japan,-,1.00,1.00,1.00,-,-,-
2025,SUBARU,WRX SEDAN 24 MT tS (VBH),2387000000000.000,MT,G,63,-,-,245/35 R19,275,2675000000000.000,"4,670 x 1,825 x 1,465",5,4X4,4WD,-,4,4,CBU,Japan,-,-,-,-,3.00,6.00,1.00
2025,SUBARU,WRX SEDAN 24 AT tS ES (VBH),2387000000000.000,CVT,G,63,1625000000000.000,-,245/40 R18,275,2675000000000.000,"4,670 x 1,825 x 1,465",5,4X4,4WD,-,4,4,CBU,Japan,3.00,1.00,7.00,-,1.00,-,1.00
2025,TOYOTA,All New Corolla Altis 18 V A/T 2-23,18--,AT,G,55,127-,5,21545R17,151 / 64--,27--,462-X1776X146-,5,4X2,FF,-,4,4,CBU,Thailand,-,-,3.00,1.00,6.00,6.00,3.00
2025,TOYOTA,All New Corolla Altis 18 Hybrid AT 2023,1800000000000.000,AT,HYBRID,55,1270000000000.000,5,21545R17,151 / 6400,2700000000000.000,4620X1776X1460,5,4X2,FF,-,4,4,CBU,Thailand,-,1.00,1.00,-,3.00,5.00,5.00
2025,TOYOTA,All New Camry 25 V 2021,2500000000000.000,AT,G,70,1465000000000.000,3815000000000.000,215/55R17,181 / 6000,2775000000000.000,4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand,-,-,1.00,-,-,-,-
2025,TOYOTA,All New Camry 25 Hev 2021,2494000000000.000,CVT,HYBRID,65,1625000000000.000,3542000000000.000,235/45 R18,1566 /5700,2775000000000.000,4885X1840X1445,5,4X2,FF,5,4,4,CBU,Thailand,-,-,15.00,10.00,43.00,28.00,18.00
2025,TOYOTA,Prius 18 Hybrid 2023,1798000000000.000,AT,HYBRID,45,1420000000000.000,3267000000000.000,195/65 R15,73 / 5200,2700000000000.000,4460X1745X1480,5,4X2,FF,5,4,4,CBU,Japan,-,-,-,-,-,-,-
2025,TOYOTA,Prius 20 PHEV CVT,1987000000000.000,CVT,PHEV,45,1420000000000.000,3267000000000.000,195/65 R15,73 / 5200,2700000000000.000,4460X1745X1480,5,4X2,FR,5,4,4,CBU,Japan,-,-,1.00,-,-,-,-
2025,TOYOTA,GR 86,2387000000000.000,MT,G,50,-,-,215/45/R17,147 / 6800,2570000000000.000,4240X1775X1285,5,4X2,FR,6,4,4,CBU,Japan,-,1.00,-,-,-,-,1.00
2025,TOYOTA,GR 86 AT,2387000000000.000,AT,G,50,-,-,215/45/R17,147 / 6800,2570000000000.000,4240X1775X1285,5,4X2,FR,6,4,4,CBU,Japan,-,4.00,1.00,-,2.00,3.00,2.00
2025,TOYOTA,Supra 30 AT,2459000000000.000,AT,G,50,-,-,-,-,-,-,5,4X2,FR,6,4,4,CBU,Japan,-,-,-,-,-,-,-
2025,TOYOTA,GR Supra 30 AT,2459000000000.000,AT,G,50,-,-,-,-,-,-,5,4X2,FR,6,4,4,CBU,Japan,-,1.00,1.00,1.00,1.00,-,-
2025,LEXUS,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,MERCEDES-BENZ PC,Maybach S 580 (Z223)*,3982000000000.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,-,-,-,1.00,1.00,-,-
2025,BMW,i440 Gran Coupe AT,-,AT,BEV,51,2025000000000.000,-,225/50 R18 95W,136,2670000000000.000,4439 x 1821 x 1596,5,4X2,FF,-,5,4,CBU,Germany,-,-,-,-,-,-,-
2025,BMW,X1 sDrive18i U11 A7 AT,1499000000000.000,AT,G,45,2075000000000.000,-,225/55 R18 102Y,156,2692000000000.000,4500 x 1845 x 1642,-,4X2,FF,-,-,4,CKD,INA,1.00,33.00,35.00,7.00,25.00,1.00,4.00
2025,BMW,X1 sDrive18i,1499000000000.000,AT,G,45,2075000000000.000,-,225/55 R18 102Y,156,2692000000000.000,4500 x 1845 x 1642,-,4X2,FF,-,-,4,CKD,INA,-,-,-,-,-,-,-
2025,BYD,Atto 3 Advanced Standard Range,-,-,BEV,-,2,-,"17""Alloy 215/60 R17",-,2720000000000.000,4455X1875X1615,5,4X2,FF,-,5,4,CBU,China,50.00,3.00,15.00,-,43.00,36.00,356.00
2025,BYD,Atto 3 Superior Extended Range,-,-,BEV,-,"1,750",-,"18""Alloy 235/50 R18",-,2720000000000.000,4455X1875X1615,5,4X2,FF,-,5,4,CBU,China,190.00,59.00,373.00,144.00,19.00,19.00,57.00
2025,BYD,Dolphin Dynamic Standard Range,-,-,BEV,-,2,-,"16""Alloy 195/60 R16",-,2700000000000.000,4290X1770X1570,5,4X2,FF,-,5,4,CBU,China,2.00,30.00,49.00,53.00,18.00,8.00,18.00
2025,BYD,Dolphin Premium Standard Range,-,-,BEV,-,2,-,"17""Alloy 205/50 R17",-,2700000000000.000,4290X1770X1570,5,4X2,FF,-,5,4,CBU,China,6.00,7.00,59.00,66.00,100.00,6.00,7.00
2025,BYD,M6 Superior Captain,-,-,BEV,-,2,-,"17""Alloy 225/55 R17",-,2800000000000.000,4710X1810X1690,6,4X2,FF,-,5,4,CBU,China,166.00,428.00,582.00,411.00,468.00,159.00,151.00
2025,BYD,M6 Superior,-,-,BEV,-,2,-,"17""Alloy 225/55 R17",-,2800000000000.000,4710X1810X1690,7,4X2,FF,-,5,4,CBU,China,189.00,80.00,416.00,406.00,440.00,141.00,221.00
2025,BYD,M6 Standard,-,-,BEV,-,2,-,"17""Alloy 225/55 R17",-,2800000000000.000,4710X1810X1690,7,4X2,FF,-,5,4,CBU,China,226.00,585.00,295.00,440.00,276.00,544.00,519.00
2025,BYD,E6 GS-20,-,-,BEV,-,2,-,"17""Alloy 225/55 R17",-,2800000000000.000,4710X1810X1690,7,4X2,FF,-,5,4,CBU,China,-,-,-,-,-,97.00,-
2025,BYD,Sealion 7 Premium,-,-,BEV,-,2225000000000.000,-,"19""Alloy 255/45 R19",-,2930000000000.000,4830X1925X1620,5,4X2,RR,-,5,4,CBU,China,-,87.00,873.00,"1,375,000,000,000,000.00",892.00,841.00,453.00
2025,AION,HYPTEC HT Premium,-,AT,BEV,-,-,-,240/50020,250 kw,2935000000000.000,4935 x 1920 x 1700,5,4X2,-,-,-,-,CBU,China,-,79.00,886.00,276.00,195.00,56.00,37.00
2025,AION,HYPTEC HT Ultra,-,AT,BEV,-,-,-,240/50020,250 kw,2935000000000.000,4935 x 1920 x 1700,5,4X2,-,-,-,-,CBU,China,-,-,-,-,-,-,-
2025,AION,AION Y Plus Exclusive,-,AT,BEV,-,-,-,215/50018,150 kw,2750000000000.000,4535 x 1870 x 1650,5,4X2,-,-,-,-,CBU,China,66.00,57.00,66.00,75.00,65.00,25.00,9.00
2025,AION,AION Y Plus Premium,-,AT,BEV,-,-,-,215/50018,150 kw,2750000000000.000,4535 x 1870 x 1650,5,4X2,-,-,-,-,CBU,China,17.00,23.00,7.00,11.00,22.00,14.00,39.00
2025,AION,AION V Exclusive,-,AT,BEV,-,-,-,225/45019,150 kw,2775000000000.000,4605 x 1854 x 1686,5,4X2,-,-,-,-,CBU,China,-,-,-,-,-,-,-
2025,AION,AION V Luxury,-,AT,BEV,-,-,-,225/45019,150 kw,2775000000000.000,4605 x 1854 x 1686,5,4X2,-,-,-,-,CBU,China,-,-,-,-,-,765.00,336.00
2025,DENZA,D9 Advanced,-,-,BEV,-,3338000000000.000,-,235/60 R18,-,3110000000000.000,5250X1960X1920,7,4X2,FF,-,5,4,CBU,China,25.00,912.00,"1,587,000,000,000.00",811.00,630.00,"1,768,000,000,000.00",523.00
2025,BAIC,X055 II,1498000000000.000,AT,G,53,1550000000000.000,-,225/55R19,185,2735000000000.000,4620 x 1886 x 1680,5,4X2,FR,7,5,4,CBU,China,1.00,14.00,15.00,-,-,-,-
2025,BAIC,X055 Prime,1498000000000.000,AT,G,53,1550000000000.000,-,225/55R19,185,2735000000000.000,4620 x 1886 x 1680,5,4X2,FR,7,5,4,CBU,China,-,-,-,3.00,7.00,4.00,7.00
2025,BAIC,X055 II Lite,1498000000000.000,AT,G,53,1550000000000.000,-,225/55R19,185,2735000000000.000,4620 x 1886 x 1680,5,4X2,FR,7,5,4,CBU,China,-,-,-,1.00,7.00,1.00,2.00
2025,CHERY,Tiggo 7 Pro Premium,1500000000000.000,AT,G,51,-,-,-,-,2670000000000.000,4500X1842X1746,5,4X2,-,-,5,4,CKD,INA,1.00,-,-,-,-,-,1.00
2025,CHERY,Tiggo 7 Pro Luxury,1500000000000.000,AT,G,51,-,-,-,-,2670000000000.000,4500X1842X1746,5,4X2,-,-,5,4,CKD,INA,24.00,2.00,-,-,-,-,-
2025,CHERY,Tiggo 7 Pro Comfort,1500000000000.000,AT,G,51,-,-,-,-,2670000000000.000,4500X1842X1746,5,4X2,-,-,5,4,CKD,INA,-,-,-,-,-,2.00,-
2025,CHERY,Omoda 5 Z,1500000000000.000,CVT,G,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,54.00,4.00,-,-,-,-,-
2025,CHERY,Gt,1500000000000.000,CVT,G,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,10.00,8.00,17.00,8.00,1.00,1.00,-
2025,CHERY,OMDA 5 Z (Facelift),1500000000000.000,CVT,G,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,-,-,-,-,-,33.00,12.00
2025,CHERY,OMDA 5 RZ (Facelift),1500000000000.000,CVT,G,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,-,-,-,-,-,116.00,146.00
2025,CHERY,Omoda 5 Rs,1500000000000.000,CVT,G,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,17.00,43.00,17.00,6.00,-,-,-
2025,CHERY,OmodaE5 Pure,1500000000000.000,CVT,BEV,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,29.00,41.00,24.00,17.00,17.00,53.00,25.00
2025,CHERY,Omoda E5,1500000000000.000,CVT,BEV,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,98.00,146.00,83.00,49.00,43.00,32.00,61.00
2025,CHERY,iCar 03 RWD,-,CVT,BEV,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,172.00,66.00,127.00,199.00,157.00,126.00,155.00
2025,CHERY,Tiggo 5X  Classic,1500000000000.000,CVT,G,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,1.00,19.00,2.00,-,-,-,1.00
2025,CHERY,Tiggo 5X  Champion,1500000000000.000,CVT,G,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,24.00,55.00,26.00,-,1.00,1.00,-
2025,CHERY,Tiggo Cross Comfort,1500000000000.000,AT,G,51,-,-,-,-,2670000000000.000,4500X1842X1746,5,4X2,-,-,5,4,CKD,INA,-,22.00,86.00,4.00,4.00,37.00,58.00
2025,CHERY,Tiggo Cross  Premium,1500000000000.000,AT,G,51,-,-,-,-,2670000000000.000,4500X1842X1746,5,4X2,-,-,5,4,CKD,INA,-,196.00,222.00,406.00,751.00,345.00,257.00
2025,CHERY,Tiggo Cross  Sport,1500000000000.000,AT,G,51,-,-,-,-,2670000000000.000,4500X1842X1746,5,4X2,-,-,5,4,CKD,INA,-,-,-,-,-,-,16.00
