Tahun,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,"CBU
/ CKD","ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2023,MORRIS GARAGE,5 GT  Ignite 1.5L,"1,498",CVT,G,45,"1,233",-,215/50 R17,114,"2,680",4675 x 1842 x 1473,5,4X2,FF,8,5,4,CBU,Thailand,4,4,17,13,8,21,22,38,38,23,23,9
2023,MORRIS GARAGE,5 GT  Magnify 1.5L,"1,498",CVT,G,45,"1,233",-,215/50 R17,114,"2,680",4675 x 1842 x 1480,5,4X2,FF,8,5,4,CBU,Thailand,24,75,13,10,15,7,16,24,23,9,25,16
2023,TOYOTA,Vios 1.5 E,"1,500",MT,G,42,"1,060",-,195/50 R16,109 / 6000,"2,550",4410X1700X1475,5,4X2,FF,-,4,4,CKD,INA,-,-,-,-,-,1,1,-,-,1,-,-
2023,TOYOTA,Vios 1.5 G,"1,500",MT,G,42,"1,060",-,195/50 R16,109 / 6000,"2,550",4410X1700X1475,5,4X2,FF,-,4,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-
2023,TOYOTA,VIOS 1.5 G AT  FMC,"1,500",AT,G,42,"1,080",-,195/50 R16,109 / 6000,"2,550",4410X1700X1475,5,4X2,FF,-,4,4,CKD,INA,23,94,41,34,55,49,52,38,39,40,59,43
2023,TOYOTA,Vios G AT,"1,500",AT,G,42,"1,080",-,195/50 R16,109 / 6000,"2,550",4410X1700X1475,5,4X2,FF,-,4,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-
2023,AUDI,A5 2.0 TFSI,"1,984",AT,G,63,"1,465","3,778",255/35/R18,211,"2,810",4625 x 1884 x 1372,5,4X4,4WD,-,2,4,CBU,Germany,-,2,-,-,2,-,-,-,-,2,1,-
2023,AUDI,A5 2.0 TFSI A/T  SB,"1,984",AT,G,54,"1,490",-,245/40/R18,190,"2,824",4757 x 1843 x 1386,5,4X2,FF,241,5,4,CBU,Germany,-,1,-,2,-,-,1,-,-,-,1,-
2023,AUDI,A6 2.0TFSI AT,"1,984",AT,G,65,"1,635","3,667",245/45/R18,180,"2,912",4915 x 1874 x 1455,5,4X2,FF,226,4,4,CBU,Germany,1,1,1,-,-,2,1,2,1,-,-,-
2023,AUDI,A8L 3.0 AT,"2,995",AT,G,90,"1,995","2,106",255/45 R19,290,"3,122",5267 x 1949 x 1471,5,4X2,FF,250,4,4,CBU,Germany,-,-,-,-,-,-,1,-,-,-,-,-
2023,BMW,218i  Gran Coupe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,3,22,6,24,39,6,4,23,27,20,9
2023,BMW,220i  Coupe AT,"1,998",AT,G,52,"1,965",-,225/45 R18 95Y; 255/40 R18 99,184,"2,741",4537 x 1838 x 1390,-,4X2,FR,-,-,4,CBU,Germany,-,-,-,-,3,1,5,-,5,4,1,1
2023,BMW,320i  CKD-A7 AT,"1,998",AT,G,59,"2,070",-,225/45 R18 95Y; 255/40 R18 99,184,"2,851",4713 x 1827 x 1440,5,4X2,FR,-,4,4,CKD,INA,22,71,23,18,24,15,20,13,5,2,18,5
2023,BMW,330i  CKD B7 AT,"1,998",AT,G,59,"2,080",-,225/40 R19 93Y; 255/35 R19 96,258,"2,851",4713 x 1827 x 1440,5,4X2,FR,-,4,4,CKD,INA,13,22,34,3,13,11,-,39,32,49,25,11
2023,BMW,M2 Coupe RHD MX AT,"2,993",AT,G,52,"2,155",-,75/35 ZR19 100Y; 285/30 ZR20 9,460,"2,747",4580 x 1887 x 1403,-,4X2,FR,-,-,4,CBU,Germany,-,-,-,-,-,-,-,-,15,25,22,10
2023,BMW,M3 AT,"2,993",AT,G,59,"2,210",-,75/35 ZR19 100Y; 285/30 ZR20 9,510,"2,857",4794 x 1903 x 1433,-,4X2,FR,-,-,4,CBU,Germany,-,-,7,20,3,1,5,4,2,4,1,35
2023,BMW,M3 Competition M  xDrive T  AT,"2,993",AT,G,59,"2,370",-,75/35 ZR19 100Y; 285/30 ZR20 9,510,"2,857",4801 x 1903 x 1446,-,4X4,-,-,-,4,CBU,Germany,-,-,-,-,-,-,9,-,8,14,2,-
2023,BMW,M3 CS Limousine RHD AT  62AY,"2,993",AT,G,59,"2,245",-,75/35 ZR19 100Y; 285/30 ZR20 9,551,"2,857",4795 x 1918 x 1438,-,4X4,-,-,-,4,CBU,Germany,-,-,-,-,-,-,7,5,-,-,-,2
2023,BMW,M4 CSL AT,"2,993",AT,G,59,"1,970",-,75/35 ZR19 100Y; 285/30 ZR20 9,551,"2,857",4794 x 1921 x 1386,2,4X2,FR,-,2,4,CBU,Germany,-,-,1,-,-,-,-,-,-,-,-,-
2023,BMW,M4 Coupe AT,"2,993",AT,G,59,"2,155",-,75/35 ZR19 100Y; 285/30 ZR20 9,510,"2,857",4794 x 1887 x 1393,-,4X2,FR,-,-,4,CBU,Germany,-,-,11,21,53,11,21,15,14,4,5,17
2023,BMW,M4 Competition M  xDrive C RHD AT,"2,993",AT,G,59,"2,345",-,75/35 ZR19 100Y; 285/30 ZR20 9,510,"2,857",4794 x 1887 x 1395,-,4X4,4WD,-,-,4,CBU,Germany,-,-,-,-,-,10,-,-,-,9,1,-
2023,BMW,430i  Convertible AT,"1,998",AT,G,59,"2,200",-,225/40 R19 93Y; 255/35 R19 96,258,"2,851",4768 x 1852 x 1384,-,4X2,FR,-,-,4,CBU,Germany,-,-,5,21,18,8,11,-,3,11,1,-
2023,BMW,430i  Coupe AT,"1,998",AT,G,59,"2,030",-,225/40 R19 93Y; 255/35 R19 96,258,"2,851",4768 x 1852 x 1383,-,4X2,FR,-,-,4,CBU,Germany,-,-,8,40,17,6,24,4,4,3,-,2
2023,BMW,530i  CKD AT,"1,998",AT,G,68,"3,205",-,245/40 R19 98Y; 275/35 R19 100,252,"2,975",4963 x 1868 x   1479,-,4X2,FR,-,-,4,CKD,INA,21,-,3,7,16,1,8,6,2,-,-,-
2023,BMW,530i  Touring RHD AT,"1,998",AT,G,68,"2,425",-,245/40 R19 98Y; 275/35 R19 100,252,"2,975",4963 x 1868 x 1498,-,4X2,FR,-,-,4,CBU,Germany,-,-,-,36,11,4,3,-,-,-,-,-
2023,BMW,520i  G30 CKD AT,"1,998",AT,G,68,"2,285",-,245/40 R19 98Y; 275/35 R19 100,184,"2,975",4963 x 1868 x   1479,-,4X2,FR,-,-,4,CKD,INA,27,10,59,8,15,25,8,38,21,17,18,47
2023,BMW,72AG 520I,"1,998",AT,G,-,-,-,-,-,-,-,-,-,-,-,-,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,-
2023,BMW,730Li  G12 CKD AT,"1,998",AT,G,78,"2,445",-,245/40 R20 99Y; 275/35 R20 102,265,"3,210",5260x1902x1479,-,4X2,FR,-,-,4,CKD,INA,1,-,1,1,-,-,-,3,2,-,-,-
2023,BMW,735i  Limousine RHD A/T,"2,998",AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
2023,BMW,735i  Limousine RHD AT,"2,998",AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,-,-,-,-,-,-,-,-,-,4,14,26,8,15,28
2023,BMW,740Li  G12 CKD AT,"2,998",AT,G,78,"2,500",-,245/40 R20 99Y; 275/35 R20 102,340,"3,210",5260x1902x1479,-,4X2,FR,-,-,4,CKD,INA,1,-,-,-,-,-,-,-,-,-,-,-
2023,BMW,Z4 sDrive30i  AT,"1,998",AT,G,52,"1,740",-,55/40 ZR18 95Y; 275/40 ZR18 9,258,"2,470",4324x1864x1304,-,4X2,FR,-,2,4,CBU,Germany,-,-,-,31,10,6,3,-,6,6,1,-
2023,BMW,Z4 M40i  AT,"2,998",AT,G,52,"1,860",-,55/35 ZR19 96Y; 275/35 ZR19 10,387,"2,470",4324 x 1864 x 1304,-,4X2,FR,-,-,4,CBU,Germany,-,-,2,10,11,5,-,-,-,-,2,-
2023,BMW,840i  Coupe AT,"2,998",AT,G,68,"2,225",-,245/35 R20 95Y; 275/30 R20 97,340,"2,822",4843x1902x1341,-,4X2,FR,-,-,4,CBU,Germany,-,-,1,4,4,-,7,-,2,-,-,-
2023,BMW,840i  Gran Coupe AT,"2,998",AT,G,68,"2,435",-,245/35 R20 95Y; 275/30 R20 97,340,"3,023",5074x1932x1401,-,4X2,FR,-,-,4,CBU,Germany,-,-,1,1,1,-,-,-,1,1,-,-
2023,HONDA,New ACCORD VTi-L,"2,354",CVT,G,65,"1,525",-,-,176,"2,275",4870 x 1850 x 1465,5,4X2,FF,-,4,4,CBU,Thailand,-,69,24,51,35,60,28,60,63,16,7,7
2023,HONDA,Civic Type R,"2,000",MT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,UK,-,-,15,-,3,-,3,36,26,-,17,-
2023,LEXUS,ES 250,"2,494",AT,G,-,-,-,-,181 / 6000,-,4900X1820X1450,4,4X2,FR,-,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,-
2023,LEXUS,ES 300 h,"2,494",AT,HYBRID,65,-,-,215 / 55 R17,202 / 5700,"2,820",4900X1820X1450,4,4X2,FR,-,4,4,CBU,Japan,5,13,26,7,22,31,7,23,26,9,15,3
2023,LEXUS,ES 300h Ultra Luxury,"2,494",AT,HYBRID,65,-,-,215 / 55 R17,202 / 5700,"2,820",4900X1820X1450,4,4X2,FR,-,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,-
2023,MAZDA,MX-5 RF AT,"1,999",AT,G,50,-,"3,863",205/45R17,160,"2,330",4020 x 1720 x 1255,2,4X2,FF,-,4,4,CBU,Japan,4,-,6,4,-,3,2,20,13,2,6,2
2023,MAZDA,New MX-5 RF MT,"1,999",MT,G,50,-,"3,863",205/45R17,160,"2,330",4020 x 1720 x 1255,2,4X2,FF,-,4,4,CBU,Japan,-,-,1,-,-,2,2,8,6,1,-,1
2023,MAZDA,Mazda 3 Sedan,"1,998",AT,G,51,-,-,215/45R18,155,"2,725","4,660 x 1,795 x 1,44",5,4X2,FF,-,5,4,CBU,Japan,2,-,1,17,3,3,10,19,10,5,5,1
2023,MAZDA,Mazda 6 Elite Sedan,"2,488",AT,G,64,-,"4,056",225/45R19,187,"2,830",4865 x 1840 x 1450,5,4X2,FF,-,4,4,CBU,Japan,-,-,22,2,1,13,1,11,4,2,2,4
2023,MERCEDES-BENZ PC,AMG A 35 4MATIC (V177),"2,000",AT,G,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,17,5,3,-,1,1,-,4,7,1,2,4
2023,MERCEDES-BENZ PC,A 200,"1,991",AT,G,41,"2,030",7,225/50 R17,184,"2,840","4,686 x 2,020 x 1,44",5,4X2,FR,-,4,4,CKD,INA,-,18,4,1,16,25,23,23,9,9,8,18
2023,MERCEDES-BENZ PC,E 200 AVA,"1,991",AT,G,66,"2,265",9,245/45 R18,184,"2,939","4,686 x 2,065 x 1,46",5,4X2,FR,-,4,4,CKD,INA,14,33,37,29,30,27,1,11,10,1,1,1
2023,MERCEDES-BENZ PC,E 200 Coupe   (C238)*,"2,999",AT,G,-,-,-,-,-,-,-,-,4X4,4WD,-,-,-,CBU,-,-,1,1,-,5,3,3,-,4,-,2,-
2023,MERCEDES-BENZ PC,E 250 AVA,"1,991",AT,G,66,"2,255",9,245/45 R18,211,"2,939","4,686 x 2,065 x 1,46",5,4X2,FR,-,4,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-
2023,MERCEDES-BENZ PC,E 300 AMG,"1,991",AT,G,66,"2,295",9,"245/40, 275/35 R19",258,"2,939","4,702 x 2,065 x 1,45",5,4X2,FR,-,4,4,CKD,INA,23,27,25,19,15,18,13,29,31,35,31,11
2023,MERCEDES-BENZ PC,S 450,"2,996",AT,G,80,"2,700",9,"245/45, 275/40 R19",367,"3,165","5,255 x 2,130 x 1,49",5,4X2,FR,-,4,4,CKD,INA,20,33,29,7,11,17,7,19,15,4,5,3
2023,MERCEDES-BENZ PC,EQE 350 (V295),-,AT,BEV,-,-,-,-,-,-,-,5,4X2,FR,-,5,4,CBU,-,-,-,-,-,18,4,1,2,7,7,9,5
2023,MERCEDES-BENZ PC,S 580e (V223),"2,999",AT,G,-,-,-,-,-,-,-,5,4X2,FR,-,5,4,CBU,-,-,-,-,1,-,-,-,-,-,-,-,-
2023,MERCEDES-BENZ PC,EQS 450+ (V297),-,AT,BEV,-,-,9,245/45 R18,204,"2,840","4,702 x 2,020 x 1,45",5,4X2,FR,-,5,4,CBU,-,-,3,10,11,11,9,1,-,1,5,5,-
2023,MERCEDES-BENZ PC,E 200 ( CBU ),"1,991",AT,G,66,"2,265",9,245/45 R18,184,"2,939","4,686 x 2,065 x 1,46",5,4X2,FR,-,4,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-
2023,MERCEDES-BENZ PC,E 300e,"1,991",AT,G,66,"2,320",9,"245/40, 275/35 R19",258,"2,873","4,846 x 2,065 x 1,43",4,4X2,FR,-,2,4,CBU,-,-,-,-,-,-,1,-,-,-,-,-,-
2023,MERCEDES-BENZ PC,CLS 350 AMG,"1,991",AT,G,66,"2,410",9,"245/35, 275/30 R20",299,"2,939","4,996 x 2,069 x 1,43",5,4X2,FR,-,4,4,CBU,-,-,-,-,3,2,-,1,1,2,2,-,-
2023,MERCEDES-BENZ PC,C 300 AMG Line (W206),"1,998",AT,G,66,-,-,-,-,-,-,4,4X2,FR,-,4,4,CKD,-,54,19,42,4,68,55,73,86,22,31,24,75
2023,MERCEDES-BENZ PC,AMG CLA 45 S Shooting Brake (X118),"1,998",-,-,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,-,-,-,1,-,-,-,-,-,-,-,-,-
2023,MERCEDES-BENZ PC,AMG SL 43,"1,999",AT,G,-,-,9,-,-,-,-,4,4X2,FR,-,4,4,CBU,-,-,-,-,-,-,-,-,4,3,4,10,1
2023,SUBARU,BRZ 2.4 MT  (ZD8),2,AT,G,50,"1,670",-,215/40 R18,237,"2,575","4,265 x 1,775 x 1,31",4,4X2,FR,-,2,4,CBU,Japan,9,8,5,2,3,2,1,2,1,6,-,8
2023,SUBARU,BRZ 2.4 AT  (ZD8),2,AT,G,50,"1,700",-,215/40 R18,237,"2,575","4,265 x 1,775 x 1,31",4,4X2,FR,-,2,4,CBU,Japan,22,18,19,8,7,6,8,6,5,8,5,10
2023,SUBARU,WRX SEDAN 2.4 MT  (VB),2,MT,G,63,"1,556",-,245/40 R18,275,"2,675","4,670 x 1,825 x 1,46",5,4X4,4WD,-,4,4,CBU,Japan,-,-,2,4,2,4,2,7,-,7,-,-
2023,SUBARU,WRX SEDAN 2.4 AT  tS ES (VB),2,CVT,G,63,"1,625",-,245/40 R18,275,"2,675","4,670 x 1,825 x 1,46",5,4X4,4WD,-,4,4,CBU,Japan,-,-,3,-,3,5,5,-,3,3,3,4
2023,TOYOTA,All  New Corolla Altis 1.8 V AT,"1,800",AT,G,55,"1,270",5,21545R17,151 / 6400,"2,700",4620X1776X1460,5,4X2,FF,-,4,4,CBU,Thailand,-,102,29,24,27,26,88,33,40,13,1,1
2023,TOYOTA,All  New Corolla Altis 1.8 Hybrid AT  2022,"1,800",AT,HYBRI,55,"1,270",5,21545R17,151 / 6400,"2,700",4620X1776X1460,5,4X2,FF,-,4,4,CBU,Thailand,-,35,11,9,2,8,-,-,-,-,-,-
2023,TOYOTA,New Corolla Altis 1.8 Hybrid AT  2023,"1,800",AT,HYBRI,55,"1,270",5,21545R17,151 / 6400,"2,700",4620X1776X1460,5,4X2,FF,-,4,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,39,17,7
2023,TOYOTA,PRIUS 1.8,"1,798",AT,G,45,"1,420","3,267",195/65 R15,73 / 5200,"2,700",4460X1745X1480,5,4X2,FR,5,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,1
2023,TOYOTA,All  New Camry 2.5 G,"2,500",AT,G,70,"1,465","3,815",215/60R16,181 / 6000,"2,775",4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,-
2023,TOYOTA,All  New Camry 2.5 V,"2,500",AT,G,70,"1,465","3,815",215/55R17,181 / 6000,"2,775",4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand,17,108,89,58,52,39,26,17,21,15,17,35
2023,TOYOTA,All  New Camry 2.5 Hybrid Mi,"2,500",AT,HYBRID,65,"1,625","3,542",215/55R17,156.6 /5700,"2,775",4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand,2,27,21,23,140,79,22,14,11,15,10,1
2023,TOYOTA,GR 86 AT,"1,998",AT,G,50,-,-,215/45/R17,147 / 6.800,"2,570",4240X1775X1285,5,4X2,FR,6,4,4,CBU,Japan,-,6,11,8,19,9,10,3,8,11,9,3
2023,TOYOTA,Supra 3.0 AT,"2,459",AT,G,50,-,-,-,-,-,-,5,4X2,FR,6,4,4,CBU,Japan,-,-,1,-,-,4,-,-,1,-,3,-
2023,TOYOTA,GR Supra 3.0 AT,"2,459",AT,G,50,-,-,-,-,-,-,5,4X2,FR,6,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,1,-
2023,TOYOTA,86 MT,"2,000",MT,G,50,-,-,215/45/R17,147 / 6.800,"2,570",4240X1775X1285,5,4X2,FR,-,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,-
2023,LEXUS,LS 500 Executive,"3,445",AT,G,-,"2,760",-,245 / 45 R20,-,"3,125",5235X1900X1450,4,4X2,FR,10,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,-
2023,LEXUS,LS 500 Hybrid,"3,445",AT,HYBRID,-,-,-,245 / 45 R20,-,-,5235X1900X1450,-,4X2,FR,-,-,-,CBU,Japan,-,1,-,-,1,-,2,-,3,1,-,-
2023,LEXUS,LC 500,"4,969",AT,G,66,"2,870",-,-,471 / 7100,"2,730",4770X1920X1345,2,4X2,FR,-,2,4,CBU,Japan,-,-,-,-,-,1,1,-,-,1,3,-
2023,BMW,M8 Coupe AT,"4,395",AT,G,68,"2,385",-,5/35 ZR20 102Y; 285/35 ZR20 1,625,"2,827",4867x1907x1362,-,4X4,4WD,-,-,4,CBU,Germany,-,-,-,-,1,-,-,-,-,-,-,-
2023,BMW,M850i  Coupe AT,"4,395",AT,G,68,"2,395",-,245/35 R20 95Y; 275/30 R20 97,530,"2,822",4851x1902x1346,-,4X4,4WD,-,-,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,1,-
2023,MERCEDES-BENZ PC,GT  53 4MATIC+ (X290)*,"3,982",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,-,-,-,1,3,1,-,-,-,1,-,-
2023,MERCEDES-BENZ PC,Maybach S 580 (Z223)*,"3,982",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,1,-,1,-,2,2,-,1,1,3,-,-
2023,BMW,i440 Gran Coupe AT,-,AT,EV,51,"2,025",-,225/50 R18 95W,136,"2,670",4439 x 1821 x 1596,5,4X2,FF,-,5,4,CBU,Germany,-,-,1,15,14,9,2,2,2,2,2,1
2023,BMW,X1 sDrive18i  F48 AT,"1,499",AT,G,61,"2,025",-,225/50 R18 95W,140,"2,670",4447x1821x1598,-,4X2,FF,-,-,4,CKD,Indonesia,-,-,-,-,-,-,-,-,-,-,-,-
2023,BMW,X1 sDrive18i  U11 A7 AT,"1,499",AT,G,45,"2,075",-,225/55 R18 102Y,156,"2,692",4500 x 1845 x 1642,-,4X2,FF,-,-,4,CKD,Indonesia,-,-,-,-,-,-,75,38,69,67,28,61
2023,CHERY,TIGGO 7 PRO PREMIUM,"1,500",AT,G,51,-,-,-,-,"2,670",4500X1842X1746,5,4X2,-,-,5,4,CKD,INA,22,32,34,30,17,14,21,31,16,20,4,8
2023,CHERY,TIGGO 7 PRO LUXURY,"1,500",AT,G,51,-,-,-,-,"2,670",4500X1842X1746,5,4X2,-,-,5,4,CKD,INA,3,4,1,4,2,15,12,-,3,2,1,-
2023,CHERY,TIGGO 7 PRO COMFORT,"1,500",AT,G,51,-,-,-,-,"2,670",4500X1842X1746,5,4X2,-,-,5,4,CKD,INA,6,9,-,9,2,5,3,2,7,1,1,3
2023,CHERY,OMDA 5 Z,"1,500",CVT,G,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,-,-,-,-,137,110,54,97,90,59,38,44
2023,CHERY,GT,"1,500",CVT,G,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,60,30,70
2023,CHERY,OMDA 5 RS,"1,500",CVT,G,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,-,-,175,408,340,305,207,261,308,188,100,136
2023,DAIHATSU,All  New Xenia 1.3 M  MT,"1,329",MT,G,43,"1,705","5,545",185/65R15,97,"2,750",4395X1730X1690,7,4X2,FF,-,5,4,CKD,INA,14,38,44,-,-,55,80,34,16,19,11,8
2023,DAIHATSU,All  New Xenia 1.3 X MT,"1,329",MT,G,43,"1,705","5,545",185/65R15,97,"2,750",4395X1730X1690,7,4X2,FF,-,5,4,CKD,INA,400,366,546,510,576,506,695,432,313,259,209,124
2023,DAIHATSU,All  New Xenia 1.3 X CVT,"1,329",AT,G,43,"1,705","5,105",185/65R15,97,"2,750",4395X1730X1690,7,4X2,FF,-,5,4,CKD,INA,244,245,304,78,14,30,3,170,206,352,86,43
2023,DAIHATSU,All  New Xenia 1.3 R MT,"1,329",MT,G,43,"1,705","5,545",185/65R15,97,"2,750",4395X1730X1690,7,4X2,FF,-,5,4,CKD,INA,238,307,420,271,286,469,461,219,265,296,164,90
2023,DAIHATSU,All  New Xenia 1.3 R CVT,"1,329",AT,G,43,"1,705","5,105",185/65R15,97,"2,750",4395X1730X1690,7,4X2,FF,-,5,4,CKD,INA,290,210,288,186,112,75,3,254,529,313,102,140
2023,DAIHATSU,All  New Xenia 1.5 R MT,"1,496",MT,G,43,"1,705","5,077",195/60R16,106,"2,750",4395X1730X1700,7,4X2,FF,-,5,4,CKD,INA,92,58,39,38,8,71,-,51,40,64,40,19
2023,DAIHATSU,All  New Xenia 1.5 R CVT,"1,496",AT,G,43,"1,705","5,105",195/60R16,106,"2,750",4395X1730X1700,7,4X2,FF,-,5,4,CKD,INA,53,71,65,36,73,42,-,53,83,140,59,38
2023,DAIHATSU,All  New Xenia 1.5 R ASA CVT,"1,496",AT,G,43,"1,705","5,105",195/60R16,106,"2,750",4395X1730X1700,7,4X2,FF,-,5,4,CKD,INA,10,7,5,7,8,12,-,11,10,10,10,3
2023,DAIHATSU,New Sirion 1.3 MT  2022,"1,329",MT,G,40,940,"4,032",175/65R14,90,"2,440",3690X1665X1545,5,4X2,FF,-,5,4,CBU,Malaysia,-,-,10,10,-,-,-,-,-,-,-,-
2023,DAIHATSU,New Sirion 1.3 CVT  2022,"1,329",CVT,G,40,940,"4,032",175/65R14,90,"2,440",3690X1665X1545,5,4X2,FF,-,5,4,CBU,Malaysia,100,80,120,80,30,10,17,13,10,-,20,-
2023,DAIHATSU,Gran Max BV 1.3,"1,298",MT,G,43,"2,000","5,125",165R13-8PR,88,"2,650",4045X1665X1900,2,4X2,FR,-,5,4,CKD,INA,268,255,346,398,500,934,998,949,964,456,410,642
2023,DAIHATSU,Gran Max BV 1.5,"1,500",MT,G,43,"2,000","5,125",165R13-8PR,88,"2,650",4045X1665X1900,2,4X2,FR,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,370,6
2023,DAIHATSU,Gran Max MB 1.3 HI   FF,"1,298",MT,G,43,"1,840","5,125",165R13-8PR,88,"2,650",4045X1665X1900,8,4X2,FR,-,5,4,CKD,INA,91,67,68,60,60,46,87,44,62,94,61,71
2023,DAIHATSU,Gran Max MB 1.3 HI,"1,298",MT,G,43,"1,840","5,125",165R13-8PR,88,"2,650",4045X1665X1900,9,4X2,FR,-,5,4,CKD,INA,293,243,266,213,208,213,257,87,80,118,103,105
