Tahun,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEARRATIO,WHEEL&TYRESIZE,PS/HP,WHEELBASE,"DIMENSION
PxLxT",SEATER,DRIVESYS,,SPEED,DOOR,WHEELS,"CBU
/CKD","ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2024,AUDI,A420TFSIA/T,1984,AT,G,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,1
2024,AUDI,A620TFSIAT,1984,AT,G,65,1635,3667,245/45/R18,180,2912,4915x1874x1455,5,4X2,FF,226,4,4,CBU,Germany,1,-,-,-,-,-,-,2,-,-,-,-
2024,AUDI,A8L30AT,2995,AT,G,90,1995,2106,255/45R19,290,3122,5267x1949x1471,5,4X2,FF,250,4,4,CBU,Germany,1,1,-,-,-,-,-,-,1,-,-,-
2024,AUDI,RS429TFSIA/T,29,AT,G,58,-,-,-,-,-,-,5,4X4,4WD,-,5,4,CBU,Germany,-,-,-,-,-,-,-,-,-,1,-,-
2024,BMW,218iGranCoupe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,17,12,16,30,10,11,21,17,14,70,40
2024,BMW,220iCoupeAT,1998,AT,G,52,1965,-,225/45R1895Y;255/40R1899Y,184,2741,4537x1838x1390,-,4X2,FR,-,-,4,CBU,Germany,1,1,5,-,-,-,-,-,-,-,1,-
2024,BMW,320iCKDAT,1998,AT,G,59,205,-,225/45R1895Y,184,2851,4709x1827x1435,-,4X2,FR,-,-,4,CKD,INA,9,8,15,10,30,70,31,25,24,29,22,16
2024,BMW,330iCKDB7AT,1998,AT,G,59,208,-,225/40R1993Y;255/35R1996Y,258,2851,4713x1827x1440,5,4X2,FR,-,4,4,CKD,INA,38,21,34,14,62,43,40,59,35,50,46,26
2024,BMW,330I62FYA/T,1998,AT,G,59,16,-,225/40R1993YXL;255/40R1899YXL,245,2851,4713x1827x1440,5,4X2,FR,-,5,4,CBU,Germany,-,-,-,-,-,26,10,4,-,-,-,-
2024,BMW,M2CoupeRHDMXAT,2993,AT,G,52,2155,-,275/35ZR19100Y;285/30ZR2099Y,460,2747,4580x1887x1403,-,4X2,FR,-,-,4,CBU,Germany,4,9,-,2,10,4,6,4,3,24,11,5
2024,BMW,M3AT,2993,AT,G,59,221,-,275/35ZR19100Y;285/30ZR2099Y,510,2857,4794x1903x1433,-,4X2,FR,-,-,4,CBU,Germany,-,-,-,-,-,-,1,-,-,-,-,-
2024,BMW,M3CompetitionMxDriveTAT,2993,AT,G,59,237,-,275/35ZR19100Y;285/30ZR2099Y,510,2857,4801x1903x1446,-,4X4,4WD,-,-,4,CBU,Germany,11,1,14,2,28,-,-,3,-,6,5,4
2024,BMW,M3CSLimousineRHDAT62AY,2993,AT,G,59,2245,-,275/35ZR19100Y;285/30ZR2099Y,551,2857,4795x1918x1438,-,4X4,4WD,-,-,4,CBU,Germany,-,-,1,-,-,-,-,-,-,-,-,-
2024,BMW,M4CompetitionMxDriveCRHDAT,2993,AT,G,59,2345,-,275/35ZR19100Y;285/30ZR2099Y,510,2857,4794x1887x1395,-,4X4,4WD,-,-,4,CBU,Germany,1,-,-,-,-,-,-,-,-,-,-,-
2024,BMW,430iCoupeAT,1998,AT,G,59,203,-,225/40R1993Y;255/35R1996Y,258,2851,4768x1852x1383,-,4X2,FR,-,-,4,CBU,Germany,1,1,-,-,-,-,-,-,-,-,-,-
2024,BMW,430iConvertibleAT,1998,AT,G,-,-,-,-,-,-,4768x1852x1384,-,4X2,AWD,-,-,4,CBU,-,-,-,-,-,-,-,18,8,7,6,8,1
2024,BMW,430iAT,1998,AT,G,59,1545,-,"40R1993YXL,225/50R1798YXL;225/50R1798YXL,255/35R1996",245,2851,4768x1852x1383,4,4X2,FR,-,2,4,CBU,Germany,-,-,-,-,-,-,13,3,8,4,9,11
2024,BMW,M4ConvertibleCompetitionMxDrive32HKAT,2993,AT,G,-,-,-,-,-,-,4801x1887x1398,-,4X4,AWD,-,-,4,CBU,-,-,-,-,-,-,-,-,9,21,16,12,22
2024,BMW,M4CoupeCompetitionMxDrive42BAAT,2993,AT,G,-,-,-,-,-,-,4801x1887x1399,-,4X4,AWD,-,-,4,CBU,-,-,-,-,-,-,-,1,1,3,1,2,-
2024,BMW,520iG60CKDAT,1998,AT,G,60,2335,-,-,190,2995,5060x1900x1515,5,4X2,FR,-,-,4,CKD,INA,-,-,-,-,-,-,76,58,100,61,20,20
2024,BMW,530iCKDAT,1998,AT,G,68,3205,-,245/40R1998Y;275/35R19100Y,252,2975,4963x1868x1479,-,4X2,FR,-,-,4,CKD,INA,6,2,-,-,-,-,-,-,-,-,-,-
2024,BMW,520iG30CKDAT,1998,AT,G,68,2285,-,245/40R1998Y;275/35R19100Y,184,2975,4963x1868x1479,-,4X2,FR,-,-,4,CKD,INA,1,-,1,-,-,-,-,-,-,-,-,-
2024,BMW,530e,-,-,PHEV,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Germany,-,-,-,1,-,-,-,-,-,-,1,-
2024,BMW,520i,1998,AT,G,-,-,-,-,-,-,-,-,-,-,-,-,4,CBU,Germany,-,-,1,2,-,8,1,-,-,-,-,-
2024,BMW,530iTouringRHDAT,1998,AT,G,68,2425,-,245/40R1998Y;275/35R19100Y,252,2975,4963x1868x1498,-,4X2,FR,-,-,4,CBU,Germany,-,-,-,1,-,-,-,-,-,-,-,-
2024,BMW,i5eDrive40,-,AT,BEV,-,274,-,245/40R2099Y;275/35R20102Y,340,2995,5075x1900x151,5,4X2,-,-,4,4,CBU,Germany,-,-,-,-,30,6,4,9,4,15,16,17
2024,BMW,i5M60xDriveA/T,-,AT,BEV,-,2305,-,245/45R19102YXL;275/40R19105YXL,601,2995,5060x1900x1505,5,4X4,AWD,-,4,4,CBU,Germany,-,-,-,-,-,5,1,3,-,-,-,-
2024,BMW,i5eDrive40(12HH)A/T,-,AT,BEV,-,218,-,"5R19102YXL,255/35R21101YXL;275/40R19105YXL,285/30R211",340,2995,5060x1900x1515,5,4X2,FR,-,5,4,CBU,Germany,-,-,-,-,-,-,-,-,5,-,1,1
2024,BMW,735iLimousineRHDA/T,2998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
2024,BMW,735iLimousineRHDAT,2998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,-,-,-,11,16,10,17,16,3,18,23,5,4,10,8
2024,BMW,750exDriveSedanRHDPHEV,2998,AT,PHEV,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,Germany,-,-,1,-,-,-,-,-,-,-,-,-
2024,BMW,Z4sDrive30iAT,1998,AT,G,52,174,-,255/40ZR1895Y;275/40ZR1899Y,258,247,4324x1864x1304,-,4X2,FR,-,2,4,CBU,Germany,2,-,-,7,6,2,6,4,2,2,3,6
2024,BMW,Z4M40iAT,2998,AT,G,52,186,-,255/35ZR1996Y;275/35ZR19100Y,387,247,4324x1864x1304,-,4X2,FR,-,-,4,CBU,Germany,2,-,11,3,3,2,9,4,2,7,5,11
2024,BMW,840iCoupeAT,2998,AT,G,68,2225,-,245/35R2095Y;275/30R2097Y,340,2822,4843x1902x1341,-,4X2,FR,-,-,4,CBU,Germany,-,-,1,-,-,-,-,-,-,-,1,-
2024,BMW,840iGranCoupeAT,2998,AT,G,68,2435,-,245/35R2095Y;275/30R2097Y,340,3023,5074x1932x1401,-,4X2,FR,-,-,4,CBU,Germany,-,-,-,-,-,-,-,-,2,-,-,-
2024,HONDA,NewACCORDHEV,2,CVT,HEV,-,-,-,-,207,283,4962x1862x1449,-,4X2,FF,-,4,4,CBU,Thailand,31,41,27,14,22,11,-,12,14,2,24,12
2024,HONDA,CivicTypeR,2,MT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,UK,-,10,12,-,1,3,1,-,1,-,-,-
2024,LEXUS,ES300h,2494,AT,HEV,65,-,-,215/55R17,202/5700,282,4900X1820X1450,4,4X2,FR,-,4,4,CBU,Japan,-,1,-,6,12,3,-,1,-,1,2,1
2024,MAZDA,MX-5RFAT,1999,AT,G,50,-,3863,205/45R17,160,233,4020x1720x1255,2,4X2,FF,-,4,4,CBU,Japan,2,3,-,10,3,1,-,1,2,2,8,1
2024,MAZDA,NewMX-5RFMT,1999,MT,G,50,-,3863,205/45R17,160,233,4020x1720x1255,2,4X2,FF,-,4,4,CBU,Japan,1,-,1,2,-,1,-,-,1,5,-,3
2024,MAZDA,Mazda3Sedan,1998,AT,G,51,-,-,215/45R18,155,2725,"4,660x1,795x1,44",5,4X2,FF,-,5,4,CBU,Japan,3,6,11,2,6,9,7,10,6,5,1,2
2024,MAZDA,Mazda6EliteSedan,2488,AT,G,64,-,4056,225/45R19,187,283,4865x1840x1450,5,4X2,FF,-,4,4,CBU,Japan,3,1,1,-,3,1,4,-,1,1,1,1
2024,MERCEDES-BENZPC,AMGA354MATIC(V177),2,AT,G,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,8,2,10,5,7,7,18,11,8,2,1,1
2024,MERCEDES-BENZPC,A200,1991,AT,G,41,203,7,225/50R17,184,284,"4,686x2,020x1,44",5,4X2,FR,-,4,4,CKD,INA,5,11,6,16,6,10,-,14,9,3,6,5
2024,MERCEDES-BENZPC,E200Coupe(C238)*,2999,AT,G,-,-,-,-,-,-,-,-,4X4,4WD,-,-,-,CBU,-,-,1,-,-,-,-,-,-,-,-,-,-
2024,MERCEDES-BENZPC,E300AMG,1991,AT,G,66,2295,9,"245/40,275/35R19",258,2939,"4,702x2,065x1,45",5,4X2,FR,-,4,4,CKD,INA,5,-,9,2,-,2,-,-,-,1,-,-
2024,MERCEDES-BENZPC,S450,2996,AT,G,80,27,9,"245/45,275/40R19",367,3165,"5,255x2,130x1,49",5,4X2,FR,-,4,4,CKD,INA,2,1,7,-,10,31,4,5,6,6,4,7
2024,MERCEDES-BENZPC,EQE350(V295),-,AT,BEV,-,-,-,-,-,-,-,5,4X2,FR,-,5,4,CBU,-,-,1,1,1,4,1,6,3,1,3,-,1
2024,MERCEDES-BENZPC,EQS450+(V297),-,AT,BEV,-,-,9,245/45R18,204,284,"4,702x2,020x1,45",5,4X2,FR,-,5,4,CBU,-,1,2,4,1,2,-,-,-,-,-,1,1
2024,MERCEDES-BENZPC,C300AMGLine(W206),1998,AT,G,66,-,-,-,-,-,-,4,4X2,FR,-,4,4,CKD,-,17,19,91,26,41,10,21,51,29,6,1,10
2024,MERCEDES-BENZPC,E200(W214)CKD,1998,AT,G,66,-,9,-,204,-,-,4,4X2,RR,-,4,4,CKD,-,-,-,-,-,-,-,-,57,47,29,19,14
2024,MERCEDES-BENZPC,E300(W214)CKD,1998,AT,G,66,-,9,-,258,-,-,4,4X2,RR,-,4,4,CKD,-,-,-,-,-,-,-,-,48,19,28,10,11
2024,MERCEDES-BENZPC,AMGSL43,1999,AT,G,-,-,9,-,-,-,-,4,4X2,FR,-,4,4,CBU,-,-,-,1,-,-,-,1,1,-,-,1,-
2024,MERCEDES-BENZPC,CLE300,1999,AT,G,-,-,-,-,-,-,-,4,4X4,4WD,-,4,4,CBU,-,-,-,7,-,1,5,3,-,2,3,-,-
2024,SUBARU,BRZ24MT(ZD8),2,AT,G,50,167,-,215/40R18,237,2575,"4,265x1,775x1,31",4,4X2,FR,-,2,4,CBU,Japan,5,4,1,2,2,-,1,4,3,6,5,3
2024,SUBARU,BRZ24AT(ZD8),2,AT,G,50,17,-,215/40R18,237,2575,"4,265x1,775x1,31",4,4X2,FR,-,2,4,CBU,Japan,5,6,5,4,1,5,5,10,10,8,8,9
2024,SUBARU,WRXSEDAN24MT(VB),2,MT,G,63,1556,-,245/40R18,275,2675,"4,670x1,825x1,46",5,4X4,4WD,-,4,4,CBU,Japan,2,3,1,1,3,-,1,2,-,3,1,2
2024,SUBARU,WRXSEDAN24ATtSES(VB),2,CVT,G,63,1625,-,245/40R18,275,2675,"4,670x1,825x1,46",5,4X4,4WD,-,4,4,CBU,Japan,1,2,5,2,1,-,3,2,1,3,2,1
2024,TOYOTA,AllNewCorollaAltis18VA/T2022,18,AT,G,55,127,5,21545R17,151/6400,27,4620X1776X1460,5,4X2,FF,-,4,4,CBU,Thailand,1,10,15,-,6,13,19,4,13,16,9,16
2024,TOYOTA,AllNewCorollaAltis18VA/T2023,18,AT,G,55,127,5,21545R17,151/6400,27,4620X1776X1460,5,4X2,FF,-,4,4,CBU,Thailand,-,-,-,-,1,-,-,-,-,-,-,-
2024,TOYOTA,AllNewCorollaAltis18HybridAT2023,18,AT,HEV,55,127,5,21545R17,151/6400,27,4620X1776X1460,5,4X2,FF,-,4,4,CBU,Thailand,-,-,-,14,4,2,8,1,3,7,-,2
2024,TOYOTA,GRCorolla16,1618,AT,G,45,-,-,-,-,264,4407x1851x1479,5,4X2,FF,-,4,4,CBU,-,-,-,-,-,-,12,6,14,4,6,1,-
2024,TOYOTA,AllNewCamry25V,25,AT,G,70,1465,3815,215/55R17,181/6000,2775,4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand,9,8,4,1,-,7,13,33,54,8,-,-
2024,TOYOTA,AllNewCamry25HybridMi,25,AT,HEV,65,1625,3542,215/55R17,1566/5700,2775,4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand,9,3,15,12,23,12,19,50,9,-,-,-
2024,TOYOTA,Prius18Hybrid2023,1798,AT,HEV,45,142,3267,195/65R15,73/5200,27,4460X1745X1480,5,4X2,FF,5,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,5,
2024,TOYOTA,GR86,2387,AT,G,50,-,-,215/45/R17,147/6800,257,4240X1775X1285,5,4X2,FR,6,4,4,CBU,Japan,4,-,1,-,-,1,1,-,-,1,-,-
2024,TOYOTA,GR86AT,2387,AT,G,50,-,-,215/45/R17,147/6800,257,4240X1775X1285,5,4X2,FR,6,4,4,CBU,Japan,6,-,8,10,8,1,3,1,1,9,1,-
2024,TOYOTA,Supra30AT,2459,AT,G,50,-,-,-,-,-,-,5,4X2,FR,6,4,4,CBU,Japan,-,1,-,-,-,-,-,-,-,-,-,-
2024,TOYOTA,GRSupra30AT,2459,AT,G,50,-,-,-,-,-,-,5,4X2,FR,6,4,4,CBU,Japan,2,-,-,-,-,2,-,1,1,-,-,-
2024,LEXUS,LC500,4969,AT,G,66,287,-,-,471/7100,273,4770X1920X1345,2,4X2,FR,-,2,4,CBU,Japan,-,-,1,-,1,1,-,-,-,-,1,-
2024,MERCEDES-BENZPC,MaybachS580(Z223)*,3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,-,-,-,-,-,1,-,1,-,-,1,-
2024,BMW,i440GranCoupeAT,-,AT,BEV,51,2025,-,225/50R1895W,136,267,4439x1821x1596,5,4X2,FF,-,5,4,CBU,Germany,-,1,5,4,-,3,-,-,-,-,-,-
2024,BMW,X1sDrive18iU11A7AT,1499,AT,G,45,2075,-,225/55R18102Y,156,2692,4500x1845x1642,-,4X2,FF,-,-,4,CKD,Indonesia,20,55,16,45,79,81,40,52,51,49,77,81
2024,BMW,X1sDrive18i,1499,AT,G,45,2075,-,225/55R18102Y,156,2692,4500x1845x1642,-,4X2,FF,-,-,4,CKD,INA,-,-,-,-,-,-,-,-,-,1,-,-
2024,BYD,Atto3AdvancedStandardRange,-,-,BEV,-,2,-,"17""Alloy215/60R17",-,272,4455X1875X1615,5,4X2,FF,-,5,4,CBU,CHINA,-,-,-,-,-,-,-,-,59,65,70,41
2024,BYD,Atto3SuperiorExtendedRange,-,-,BEV,-,"1,750",-,"18""Alloy235/50R18",-,272,4455X1875X1615,5,4X2,FF,-,5,4,CBU,CHINA,-,-,-,-,-,806,388,961,543,86,236,36
2024,BYD,DolphinDynamicStandardRange,-,-,BEV,-,2,-,"16""Alloy195/60R16",-,27,4290X1770X1570,5,4X2,FF,-,5,4,CBU,CHINA,-,-,-,-,-,-,-,31,88,31,45,4
2024,BYD,DolphinPremiumStandardRange,-,-,BEV,-,2,-,"17""Alloy205/50R17",-,27,4290X1770X1570,5,4X2,FF,-,5,4,CBU,CHINA,-,-,-,-,-,91,207,385,58,107,84,55
2024,BYD,M6SuperiorCaptain,-,-,BEV,-,2,-,"17""Alloy225/55R17",-,28,4710X1810X1690,6,4X2,FF,-,5,4,CBU,CHINA,-,-,-,-,-,-,-,149,619,843,1014,40
2024,BYD,M6Superior,-,-,BEV,-,2,-,"17""Alloy225/55R17",-,28,4710X1810X1690,7,4X2,FF,-,5,4,CBU,CHINA,-,-,-,-,-,-,20,87,191,625,715,1257
2024,BYD,M6Standard,-,-,BEV,-,2,-,"17""Alloy225/55R17",-,28,4710X1810X1690,7,4X2,FF,-,5,4,CBU,CHINA,-,-,-,-,-,-,20,76,26,398,41,3
2024,BYD,HYPTECHTPremium,-,AT,BEV,-,-,-,240/50-20,250kw,2935,4935x1920x1700,5,4X2,FF,-,-,-,CBU,China,-,-,-,-,-,-,-,-,-,-,379,-
2024,BYD,AIONYPlusExclusive,-,AT,BEV,-,-,-,215/50-18,150kw,275,4535x1870x1650,5,4X2,FF,-,-,-,CBU,China,-,-,-,-,-,-,-,-,366,97,112,82
2024,BYD,AIONYPlusPremium,-,AT,BEV,-,-,-,215/50-18,150kw,275,4535x1870x1650,5,4X2,FF,-,-,-,CBU,China,-,-,-,-,-,-,-,-,98,81,23,2
2024,BAIC,X-55II,1498,AT,G,53,155,-,225/55R19,185,2735,4620x1886x1680,5,4X2,FR,7,5,4,CBU,China,-,-,-,-,-,-,-,25,20,5,10,10
2024,CHERY,Tiggo7ProPremium,15,AT,G,51,-,-,-,-,267,4500X1842X1746,5,4X2,-,-,5,4,CKD,INA,12,10,3,8,15,8,3,4,1,-,3,5
2024,CHERY,Tiggo7ProLuxury,15,AT,G,51,-,-,-,-,267,4500X1842X1746,5,4X2,-,-,5,4,CKD,INA,1,1,1,2,-,3,1,6,5,12,12,19
2024,CHERY,Tiggo7ProComfort,15,AT,G,51,-,-,-,-,267,4500X1842X1746,5,4X2,-,-,5,4,CKD,INA,1,-,1,2,2,2,-,2,-,-,-,1
2024,CHERY,Omoda5Z,15,CVT,G,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,151,98,103,73,120,74,125,104,85,78,36,247
2024,CHERY,Gt,15,CVT,G,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,29,20,30,10,23,16,8,3,1,3,3,4
2024,CHERY,Omoda5Rs,15,CVT,G,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,78,20,45,23,28,10,10,4,6,3,4,8
2024,CHERY,OmodaE5Pure,15,CVT,BEV,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,159,16
2024,CHERY,OmodaE5,15,CVT,BEV,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,-,273,608,410,755,596,394,449,206,235,180,144
2024,CHERY,iCar03RWD,-,CVT,BEV,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,36,259
2024,CHERY,Tiggo5XClassic,15,CVT,G,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,-,-,-,5,7,15,31,8,10,3,5,10
2024,CHERY,Tiggo5XChampion,15,CVT,G,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,-,-,8,35,4,98,177,190,166,55,25,27
2024,CHERY,Tiggo8Facelift,2,AT,G,57,-,-,-,-,271,4722X1860X1746,7,4X2,-,-,5,4,CKD,INA,-,-,-,13,9,13,22,17,7,3,6,12
2024,CHERY,Tiggo8FaceliftAwd,2,AT,G,57,-,-,-,-,271,4722X1860X1746,7,4X4,4WD,-,5,4,CKD,INA,-,-,-,6,4,10,7,8,11,9,3,1
2024,CITROEN,NewE-C3AllElectric,12,MT,BEV,30,1316,-,195/65R15,-,254,3981X1733X1586,5,4X2,FF,-,5,4,CBU,India,-,-,-,-,30,101,35,29,33,41,47,45
2024,CITROEN,AllNewC3AircrossSUV,12,AT,G,45,1275,-,215/60R17,-,2671,4323X1796X1669,5,4X2,-,-,5,4,CBU,India,-,-,-,9,167,185,76,83,87,75,79,75
2024,CITROEN,NewCitroënC3,12,AT,G,45,1275,-,215/60R17,-,2671,4323X1796X1669,5,4X2,-,-,5,4,CBU,India,30,41,50,6,-,-,-,-,-,-,-,-
2024,DAIHATSU,AllNewXenia13MMT,1329,MT,G,43,1705,5545,185/65R15,97,275,4395X1730X1690,7,4X2,FF,-,5,4,CKD,INA,16,10,13,21,20,24,-,-,12,-,-,-
2024,DAIHATSU,AllNewXenia13XMT,1329,MT,G,43,1705,5545,185/65R15,97,275,4395X1730X1690,7,4X2,FF,-,5,4,CKD,INA,488,409,359,284,352,327,161,237,174,133,106,137
2024,DAIHATSU,AllNewXenia13XCVT,1329,AT,G,43,1705,5105,185/65R15,97,275,4395X1730X1690,7,4X2,FF,-,5,4,CKD,INA,50,100,184,99,114,112,136,154,68,65,56,97
2024,DAIHATSU,AllNewXenia13RMT,1329,MT,G,43,1705,5545,185/65R15,97,275,4395X1730X1690,7,4X2,FF,-,5,4,CKD,INA,300,456,255,146,183,133,149,287,166,126,96,155
2024,DAIHATSU,AllNewXenia13RCVT,1329,AT,G,43,1705,5105,185/65R15,97,275,4395X1730X1690,7,4X2,FF,-,5,4,CKD,INA,237,261,254,136,169,132,70,106,89,125,128,248
2024,DAIHATSU,AllNewXenia15RMT,1496,MT,G,43,1705,5077,195/60R16,106,275,4395X1730X1700,7,4X2,FF,-,5,4,CKD,INA,45,55,63,33,41,35,1,-,-,-,-,-
2024,DAIHATSU,AllNewXenia15RCVT,1496,AT,G,43,1705,5105,195/60R16,106,275,4395X1730X1700,7,4X2,FF,-,5,4,CKD,INA,90,68,63,60,60,51,41,73,55,68,24,59
2024,DAIHATSU,AllNewXenia15RASACVT,1496,AT,G,43,1705,5105,195/60R16,106,275,4395X1730X1700,7,4X2,FF,-,5,4,CKD,INA,14,3,5,3,5,-,-,-,12,-,-,-
2024,DAIHATSU,NewSirion13CVT2022,1329,CVT,G,40,940,4032,175/65R14,90,244,3690X1665X1545,5,4X2,FF,-,5,4,CBU,Malaysia,-,-,20,20,20,30,30,-,58,1,-,1
2024,DAIHATSU,GranMaxBV13,1298,MT,G,43,2,5125,165R13-8PR,88,265,4045X1665X1900,2,4X2,FR,-,5,4,CKD,INA,596,499,516,292,939,1396,464,271,843,1203,764,1039
2024,DAIHATSU,GranMaxBV15,15,MT,G,43,2,5125,165R13-8PR,88,265,4045X1665X1900,2,4X2,FR,-,5,4,CKD,INA,-,-,1,3,74,-,-,-,-,13,270,-
2024,DAIHATSU,GranMaxMB13HIFF,1298,MT,G,43,184,5125,165R13-8PR,88,265,4045X1665X1900,8,4X2,FR,-,5,4,CKD,INA,40,45,24,25,78,121,48,20,79,80,46,65
