Tahun,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU / CKD,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2021,BMW,320i CKD A/T,1998,AT,G,59,2050,0,225/45 R18 95Y,184,2851,4709x1827x1435,0,4X2,FR,0,0,4,CKD,INA,94,17,10,1,-,1,2,-,-,110,41,39
2021,BMW,330i CKD A/T,1998,AT,G,59,2060,0,225/45 R18 95Y; 255/40 R18 99Y,258,2851,4709x1827x1435,0,4X2,FR,0,0,4,CKD,INA,-,29,21,20,21,24,2,2,-,32,25,18
2021,BMW,330i A/T,1998,AT,G,59,2060,0,225/45 R18 95Y; 255/40 R18 99Y,258,2851,4709x1827x1435,0,4X2,FR,0,0,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,-
2021,BMW,330e Msport,1998,MT,G,59,2060,0,225/45 R18 95Y; 255/40 R18 99Y,258,2851,4709x1827x1435,0,4X2,FR,0,0,4,CBU,Germany,-,-,-,-,-,-,-,-,-,1,-,-
2021,BMW,320i Touring A/T,1998,AT,G,59,2135,0,225/40 R19 93Y; 225/35 R19 96Y,184,2851,4709x1827x1440,0,4X2,FR,0,0,4,CBU,Germany,-,-,-,-,-,-,-,30,2,-,1,-
2021,BMW,M3 A/T,2980,AT,G,0,2100,0,255/35 ZR19 92Y; 275/35 ZR19 100Y,0,2812,4671x1877x1425,1,4X2,FR,0,0,4,CBU,Germany,-,-,-,-,-,2,5,2,1,5,3,-
2021,BMW,M4 Coupe A/T,2979,AT,G,0,2100,0,255/35 ZR19 92Y; 275/35 ZR19 100Y,0,2812,4671x1877x1426,2,4X2,FR,0,0,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,-
2021,BMW,M4 Coupe A/T,2982,AT,G,0,2100,0,255/35 ZR19 92Y; 275/35 ZR19 100Y,0,2812,4671x1877x1427,3,4X2,FR,0,0,4,CBU,Germany,-,-,-,-,-,6,5,2,2,8,3,-
2021,BMW,430i Convertible A/T,1998,AT,G,0,2100,0,255/35 ZR19 92Y; 275/35 ZR19 100Y,0,2812,4671x1877x1428,4,4X2,FR,0,0,4,CBU,Germany,-,-,-,-,-,-,-,5,-,1,-,1
2021,BMW,430i Coupe A/T,2985,AT,G,0,2100,0,255/35 ZR19 92Y; 275/35 ZR19 100Y,0,2812,4671x1877x1430,6,4X2,FR,0,0,4,CBU,Germany,-,-,-,-,-,7,6,1,2,4,1,-
2021,BMW,12AG 530E,1998,AT,G,0,2100,0,255/35 ZR19 92Y; 275/35 ZR19 100Y,0,2812,4671x1877x1435,11,4X2,FR,0,0,4,CBU,Germany,-,-,-,-,-,-,-,-,1,-,-,-
2021,BMW,520i G30 CKD A/T,1998,AT,G,0,2100,0,255/35 ZR19 92Y; 275/35 ZR19 100Y,0,2812,4671x1877x1438,14,4X2,FR,0,0,4,CBU,Germany,21,7,18,32,1,-,-,-,-,1,-,-
2021,BMW,530i CKD A/T,1998,AT,G,0,2100,0,255/35 ZR19 92Y; 275/35 ZR19 100Y,0,2812,4671x1877x1439,15,4X2,FR,0,0,4,CBU,Germany,14,-,-,-,-,-,-,-,-,-,-,-
2021,BMW,530i CKD A/T,1998,AT,G,0,2100,0,255/35 ZR19 92Y; 275/35 ZR19 100Y,0,2812,4671x1877x1444,20,4X2,FR,0,0,4,CBU,Germany,-,-,-,26,18,3,-,-,-,-,-,-
2021,BMW,520i G30 CKD A/T,1998,AT,G,0,2100,0,255/35 ZR19 92Y; 275/35 ZR19 100Y,0,2812,4671x1877x1445,21,4X2,FR,0,0,4,CBU,Germany,-,-,-,17,26,3,-,1,-,12,26,16
2021,BMW,72AG 520I,1998,AT,G,0,2100,0,255/35 ZR19 92Y; 275/35 ZR19 100Y,0,2812,4671x1877x1446,22,4X2,FR,0,0,4,CBU,Germany,-,-,-,1,-,-,-,-,-,-,-,-
2021,BMW,730Li G12 CKD A/T,1998,AT,G,0,2100,0,255/35 ZR19 92Y; 275/35 ZR19 100Y,0,2812,4671x1877x1458,34,4X2,FR,0,0,4,CBU,Germany,2,5,2,11,4,2,3,10,3,7,2,1
2021,BMW,740Li G12 CKD A/T,2998,AT,G,0,2100,0,255/35 ZR19 92Y; 275/35 ZR19 100Y,0,2812,4671x1877x1461,37,4X2,FR,0,0,4,CBU,Germany,5,1,-,-,-,-,-,-,-,-,-,-
2021,BMW,Z4 sDrive30i A/T,1998,AT,G,52,1740,0,255/40 ZR18 95Y; 275/40 ZR18 99Y,258,2470,4324x1864x1304,0,4X2,FR,0,2,4,CBU,Germany,-,-,2,7,5,3,-,4,1,-,2,1
2021,BMW,840i Coupe A/T,2998,AT,G,68,2225,0,245/35 R20 95Y; 275/30 R20 97Y,340,2822,4843x1902x1341,0,4X2,FR,0,0,4,CBU,Germany,-,-,3,2,-,-,3,2,1,2,-,1
2021,BMW,840i Gran Coupe A/T,2998,AT,G,68,2435,0,245/35 R20 95Y; 275/30 R20 97Y,340,3023,5074x1932x1401,0,4X2,FR,0,0,4,CBU,Germany,-,-,1,2,-,-,1,-,-,-,1,1
2021,HONDA,New ACCORD VTi-L,2354,CVT,G,65,1525,-,-,176,2275,4870 x 1850 x 1465,5,4X2,FF,-,4,4,CBU,Thailand,13,65,61,-,-,-,29,1,-,-,-,-
2021,LEXUS,ES 250,2494,AT,G,-,-,-,-,181 / 6000,0,4900X1820X1450,4,4X2,FR,0,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,-
2021,LEXUS,ES 300 h,2494,AT,HYBRID,65,-,-,215 / 55 R17,202 / 5700,2820,4900X1820X1450,4,4X2,FR,0,4,4,CBU,Japan,-,5,7,12,2,-,-,-,-,-,11,4
2021,LEXUS,ES 300h Ultra Luxury,2494,AT,HYBRID,65,-,-,215 / 55 R17,202 / 5700,2820,4900X1820X1450,4,4X2,FR,0,4,4,CBU,Japan,3,-,-,-,-,-,-,-,-,-,-,-
2021,MAZDA,MX-5 RF,1999,AT,G,50,-,3863,205/45R17,160,2330,4020 x 1720 x 1255,2,4X2,FF,-,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,-
2021,MAZDA,All New Mazda 3 Sedan,1998,AT,G,51,-,-,215/45R18,155,2725,"4,660 x 1,795 x 1,440",5,4X2,FF,-,5,4,CBU,Japan,-,1,2,-,-,-,-,4,-,-,-,-
2021,MAZDA,All-new Mazda 6 Elite,2488,AT,G,64,-,4056,225/45R19,187,2830,4865 x 1840 x 1450,5,4X2,FF,-,4,4,CBU,Japan,2,3,-,1,-,-,-,-,-,-,-,-
2021,MAZDA,New Mazda 6 Elite Sedan,2488,AT,G,64,-,4056,225/45R19,187,2830,4865 x 1840 x 1450,5,4X2,FF,-,4,4,CBU,Japan,-,-,2,2,2,2,-,-,4,2,2,1
2021,MERCEDES-BENZ PC,CLA 200 AMG Line (C117),1556,AT,G,50,1920,7,225/40 R18,156,2669,"4,669 x 2,032 x 1,427",5,4X2,FF,-,4,4,CBU,-,-,-,-,-,-,-,-,-,-,-,-,-
2021,MERCEDES-BENZ PC,A 200,1991,AT,G,41,2030,7,225/50 R17,184,2840,"4,686 x 2,020 x 1,442",5,4X2,FR,-,4,4,CKD,IND,-,-,-,-,-,-,-,15,6,21,36,-
2021,MERCEDES-BENZ PC,C180,1991,AT,G,41,2030,7,225/50 R17,184,2840,"4,686 x 2,020 x 1,442",5,4X2,FR,-,4,4,CKD,IND,13,6,9,8,6,5,2,-,3,12,2,-
2021,MERCEDES-BENZ PC,C 200 AMG,1991,AT,G,66,2030,9,"225/45, 245/40 R18",184,2840,"4,686 x 2,020 x 1,442",5,4X2,FR,-,4,4,CKD,IND,25,13,8,19,31,30,5,2,15,7,11,-
2021,MERCEDES-BENZ PC,C 300 AMG,1991,AT,G,66,2135,9,"225/45, 245/40 R18",258,2840,"4,702 x 2,020 x 1,432",5,4X2,FR,-,4,4,CKD,IND,40,25,32,24,2,-,-,-,-,-,1,-
2021,MERCEDES-BENZ PC,E 200 AVA,1991,AT,G,66,2265,9,245/45 R18,184,2939,"4,686 x 2,065 x 1,468",5,4X2,FR,-,4,4,CKD,IND,2,8,4,-,-,-,-,-,-,-,-,-
2021,MERCEDES-BENZ PC,E 250 AVA,1991,AT,G,66,2255,9,245/45 R18,211,2939,"4,686 x 2,065 x 1,468",5,4X2,FR,-,4,4,CKD,IND,-,-,-,-,-,-,-,-,1,-,-,-
2021,MERCEDES-BENZ PC,E 300 AVA,1991,AT,G,66,2395,9,245/45 R18,258,2939,"4,686 x 2,065 x 1,468",5,4X2,FR,-,4,4,CKD,IND,10,11,32,34,8,1,-,-,1,4,-,-
2021,MERCEDES-BENZ PC,E 350 AMG,1991,AT,G,66,2410,9,"245/40, 275/35 R19",299,2939,"4,702 x 2,065 x 1,452",5,4X2,FR,-,4,4,CKD,IND,14,1,11,21,16,21,1,1,-,1,-,-
2021,MERCEDES-BENZ PC,S 450,2996,AT,G,80,2700,9,"245/45, 275/40 R19",367,3165,"5,255 x 2,130 x 1,494",5,4X2,FR,-,4,4,CKD,IND,7,12,10,1,-,-,-,1,-,-,-,-
2021,MERCEDES-BENZ PC,S 450 (V223),2999,AT,G,66,2190,9,245/45 R18,204,2840,"4,702 x 2,020 x 1,457",5,4X2,FR,-,5,4,CBU,-,-,-,-,-,-,24,15,1,-,-,1,-
2021,MERCEDES-BENZ PC,S 450 (V223),2999,AT,G,66,2190,9,245/45 R18,204,2840,"4,702 x 2,020 x 1,457",5,4X2,FR,-,-,4,CKD,-,-,-,-,-,-,-,-,-,-,-,15,-
2021,MERCEDES-BENZ PC,AMG A 35  4MATIC+ (V177),1998,AT,G,-,-,-,-,-,-,-,-,4X4,4WD,-,-,4,CKD,-,-,-,-,-,-,-,-,-,-,-,21,-
2021,MERCEDES-BENZ PC,C 200 Coupe,1991,AT,G,66,2190,9,245/45 R18,204,2840,"4,702 x 2,020 x 1,457",5,4X2,FR,-,5,4,CBU,-,2,3,1,-,-,-,-,-,-,-,-,-
2021,MERCEDES-BENZ PC,E 200 ( CBU ),1991,AT,G,66,2265,9,245/45 R18,184,2939,"4,686 x 2,065 x 1,468",5,4X2,FR,-,4,4,CKD,IND,-,-,-,-,-,-,-,-,-,-,10,-
2021,MERCEDES-BENZ PC,E 300 ( CBU ),1991,AT,G,66,2110,9,"225/40, 255/35 R19",258,2840,"4,696 x 2,016 x 1,408",4,4X2,FR,-,2,4,CBU,-,-,-,-,-,-,-,-,-,-,-,25,-
2021,MERCEDES-BENZ PC,CLS 350 AMG,1991,AT,G,66,2410,9,"245/35, 275/30 R20",299,2939,"4,996 x 2,069 x 1,436",5,4X2,FR,-,4,4,CBU,-,1,2,6,5,12,-,-,-,-,-,-,-
2021,TOYOTA,All New Corolla Altis V AT,1800,AT,G,55,1270,5,21545R17,151 / 6400,2700,4620X1776X1460,5,4X2,FF,-,4,4,CBU,Thailand,25,94,82,71,3,21,26,33,13,-,35,51
2021,TOYOTA,All New Corolla Altis 1.8 Hybrid AT,1.800,AT,HYBRID,55,1.250,4,205/55R16,151 / 6400,2.700,4620X1776X1460,5,4X2,FF,-,4,4,CBU,Thailand,-,13,11,8,2,-,-,10,-,-,18,32
2021,TOYOTA,All New Camry 2.5 G,2500,AT,G,70,1465,3815,215/60R16,181 / 6000,2775,4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand,2,7,7,14,6,4,2,-,2,-,-,1
2021,TOYOTA,All New Camry 2.5 V,2500,AT,G,70,1465,3815,215/55R17,181 / 6000,2775,4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand,26,85,92,48,59,44,38,29,13,60,129,145
2021,TOYOTA,All New Camry 2.5 Hybrid Mi,2500,AT,HYBRID,65,1625,3542,215/55R17,156.6 /5700,2775,4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand,7,19,14,15,10,14,3,8,3,1,72,113
2021,TOYOTA,86 TRD,2000,AT,G,50,-,-,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,-,4,4,CBU,Japan,-,-,-,-,1,-,-,-,-,-,-,-
2021,TOYOTA,86 Aero,2000,AT,G,50,-,-,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,-,4,4,CBU,Japan,-,2,7,2,3,-,-,-,-,-,-,-
2021,TOYOTA,Supra 3.0 A/T,2459,AT,G,50,-,-,-,-,-,-,5,4X2,FR,6,4,4,CBU,Japan,-,-,-,1,1,-,1,-,-,1,1,1
2021,TOYOTA,86 MT,2000,MT,G,50,-,-,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,-,4,4,CBU,Japan,-,2,-,-,1,-,-,-,-,-,-,-
2021,BMW,M5 A/T,4393,AT,G,0,2100,0,255/35 ZR19 92Y; 275/35 ZR19 100Y,0,2812,4671x1877x1448,24,4X4,FR,0,0,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,1,-
2021,LEXUS,LS 500 Executive,3445,AT,G,0,2760,-,245 / 45 R20,-,3125,5235X1900X1450,4,4X2,FR,10,4,4,CBU,Japan,-,1,1,-,-,-,-,-,-,-,4,-
2021,MERCEDES-BENZ PC,E 53 4 M+ (W213)*,3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,-,-,1,-,-,-,-,1,-,-,-,-
2021,MERCEDES-BENZ PC,S 560 (X222)*,3982,AT,G,80,2815,9,-,469,3365,"5,462 x 2,130 x 1,498",4,4X2,FR,-,4,4,CBU,-,1,-,-,-,-,-,-,-,-,-,-,-
2021,MERCEDES-BENZ PC,C 43 Coupe (C205)*,2996,AT,G,-,-,0,-,0,0,-,4,4X4,4WD,-,-,-,CBU,-,-,-,-,-,-,1,-,-,-,-,-,-
2021,MERCEDES-BENZ PC,E 53 4M+ (W213),2999,AT,G,-,-,0,-,0,0,-,-,4X4,4WD,-,-,-,CBU,-,-,-,-,-,-,-,-,1,1,-,-,-
2021,MERCEDES-BENZ PC,GT 53 4MATIC+ (X290)*,3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,-,-,2,-,3,1,1,1,-,-,-,-
2021,MERCEDES-BENZ PC,S 560 (X222)*,3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,-,-,-,-,-,-,-,-,-,1,-,-
2021,BMW,X1 sDrive18i F48 A/T,1499,AT,G,61,2025,0,225/50 R18 95W,140,2670,4447x1821x1598,0,4X2,FF,0,0,4,CKD,INA,23,67,39,56,85,72,51,55,137,31,30,53
2021,BMW,X2 sDrive18i A/T,1499,AT,G,0,2005,0,225/45 R19 92W,0,2670,4360x1824x1526,0,4X2,FF,0,0,0,CBU,Germany,-,-,-,-,-,-,-,-,1,-,-,-
2021,BMW,i3s A/T,0,AT,HYBRID,0,1730,0,175/55 R20 89T; 195/50 R20 93T,184,2570,4006x1791x1590,0,4X2,FR,0,0,4,CBU,Germany,-,-,1,1,-,-,-,-,-,-,-,-
2021,DAIHATSU,Grand New Xenia 1.3 X MT,1329,MT,G,45,1120,5125,185/70R14,97,2655,4190X1660X1695,7,4X2,FR,0,5,4,CKD,INA,358,133,483,353,235,708,114,470,585,727,108,294
2021,DAIHATSU,Grand New Xenia 1.3 X AT,1329,AT,G,45,1130,5571,185/70R14,97,2655,4190X1660X1695,7,4X2,FR,0,5,4,CKD,INA,52,31,62,88,45,41,19,26,68,55,-,-
2021,DAIHATSU,Grand New Xenia 1.3 R MT,1329,MT,G,45,1110,5125,185/70R14,97,2655,4190X1660X1695,7,4X2,FR,0,5,4,CKD,INA,312,149,375,241,222,641,85,129,354,282,-,-
2021,DAIHATSU,Grand New Xenia 1.3 R AT,1329,AT,G,45,1120,5571,185/70R14,97,2655,4190X1660X1695,7,4X2,FR,0,5,4,CKD,INA,71,29,90,28,44,115,25,40,107,87,-,-
2021,DAIHATSU,Grand New Xenia 1.5 R MT,1496,MT,G,45,1120,4875,185/70R14,104,2655,4190X1660X1695,7,4X2,FR,0,5,4,CKD,INA,6,4,10,6,38,152,160,302,4,-,-,-
2021,DAIHATSU,Grand New Xenia 1.5 R AT,1496,AT,G,45,1130,5125,185/70R14,104,2655,4190X1660X1695,7,4X2,FR,0,5,4,CKD,INA,4,1,5,5,1,5,-,1,3,-,-,-
2021,DAIHATSU,All New Xenia 1.3 M MT,1329,MT,G,43,1705,5545,185/65R15,97,2750,4395X1730X1690,7,4X2,FF,0,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,144,100
2021,DAIHATSU,All New Xenia 1.3 X MT,1329,MT,G,43,1705,5545,185/65R15,97,2750,4395X1730X1690,7,4X2,FF,0,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,166,109
2021,DAIHATSU,All New Xenia 1.3 X CVT,1329,AT,G,43,1705,5105,185/65R15,97,2750,4395X1730X1690,7,4X2,FF,0,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,346,247
2021,DAIHATSU,All New Xenia 1.3 R MT,1329,MT,G,43,1705,5545,185/65R15,97,2750,4395X1730X1690,7,4X2,FF,0,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,821,1.589
2021,DAIHATSU,All New Xenia 1.3 R CVT,1329,AT,G,43,1705,5105,185/65R15,97,2750,4395X1730X1690,7,4X2,FF,0,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,549,634
2021,DAIHATSU,All New Xenia 1.5 R MT,1496,MT,G,43,1705,5077,195/60R16,106,2750,4395X1730X1700,7,4X2,FF,0,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,272,230
2021,DAIHATSU,All New Xenia 1.5 R CVT,1496,AT,G,43,1705,5105,195/60R16,106,2750,4395X1730X1700,7,4X2,FF,0,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,191,365
2021,DAIHATSU,All New Xenia 1.5 R ASA CVT,1496,AT,G,43,1705,5105,195/60R16,106,2750,4395X1730X1700,7,4X2,FF,0,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,146,458
2021,DAIHATSU,All New Sirion 1.3 MT 2018,1298,MT,G,40,930,4267,175/65R14,90,2440,3690X1665X1545,5,4X2,FF,-,5,4,CBU,Malaysia,1,19,40,20,10,10,-,-,39,1,-,-
2021,DAIHATSU,All New Sirion 1.3 AT 2020,1298,AT,G,40,940,4032,175/65R14,90,2440,3690X1665X1545,5,4X2,FF,-,5,4,CBU,Malaysia,5,105,200,90,60,20,-,-,193,87,-,-
2021,DAIHATSU,Gran Max BV 1.3,1298,MT,G,43,2000,5125,165R13-8PR,88,2650,4045X1665X1900,2,4X2,FR,-,5,4,CKD,INA,567,1.069,869,705,77,556,652,574,591,690,646,685
2021,DAIHATSU,Gran Max BV 1.5,1500,MT,G,43,2000,5125,165R13-8PR,88,2650,4045X1665X1900,2,4X2,FR,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,1,82,323
2021,DAIHATSU,Gran Max MB 1.3 HI  FF,1298,MT,G,43,1840,5125,165R13-8PR,88,2650,4045X1665X1900,8,4X2,FR,-,5,4,CKD,INA,6,24,150,117,65,92,132,108,107,141,103,109
2021,DAIHATSU,Gran Max MB 1.3 HI,1298,MT,G,43,1840,5125,165R13-8PR,88,2650,4045X1665X1900,9,4X2,FR,-,5,4,CKD,INA,37,86,356,279,333,284,388,301,305,209,83,143
2021,DAIHATSU,Gran Max MB 1.5 HI,1495,MT,G,43,1840,4875,165R13-8PR,88,2650,4045X1665X1900,9,4X2,FR,-,5,4,CKD,INA,13,24,113,117,67,77,27,97,133,283,138,101
2021,DAIHATSU,Luxio 1.5 D (New),1495,MT,G,43,1290,5152,195/65R15,97,2650,4215X1710X1915,8,4X2,FR,-,5,4,CKD,INA,15,4,50,150,95,77,14,13,87,63,56,82
2021,DAIHATSU,Luxio 1.5 X MT (New),1495,MT,G,43,1320,5152,195/65R15,97,2650,4215X1710X1915,8,4X2,FR,-,5,4,CKD,INA,33,28,194,192,92,102,29,50,192,119,117,155
2021,DAIHATSU,Luxio 1.5 X AT (New),1495,AT,G,43,1320,5152,195/65R15,97,2650,4215X1710X1915,8,4X2,FR,-,5,4,CKD,INA,5,3,53,33,32,57,13,25,71,35,26,51
2021,DAIHATSU,Luxio 1.5 AK MT,1495,MT,G,43,1320,5152,195/65R15,97,2650,4215X1710X1915,2,4X2,FR,0,5,4,CKD,INA,-,3,2,5,1,4,-,2,9,4,3,5
2021,DAIHATSU,All New Terios X MT,1496,MT,G,45,1245,5571,215/65/R16,104,2685,4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA,611,328,919,1.306,536,703,483,441,-,-,-,-
2021,DAIHATSU,All New Terios X AT,1496,AT,G,45,1255,5857,215/65/R16,104,2685,4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA,82,56,219,251,81,120,97,86,-,-,-,-
2021,DAIHATSU,All New Terios R,1496,MT,G,45,1260,5571,215/60/R17,104,2685,4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA,387,226,524,775,424,537,354,266,-,-,-,-
2021,DAIHATSU,All New Terios R,1496,AT,G,45,1270,5857,215/60/R17,104,2685,4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA,216,39,281,408,125,196,142,126,-,-,-,-
2021,DAIHATSU,All New Terios Custom MT,1496,MT,G,45,1260,5571,215/60/R17,104,2685,4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA,5,-,2,2,4,-,-,-,-,-,-,-
2021,DAIHATSU,All New Terios Custom AT,1496,AT,G,45,1270,5857,215/60/R17,104,2685,4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA,5,-,2,2,4,-,-,-,-,-,-,-
2021,DAIHATSU,All New Terios IDS X MT,1496,MT,G,45,1245,5571,215/65/R16,104,2685,4435X1695X1705,7,4X2,FR,0,5,4,CKD,INA,-,-,-,-,-,-,-,65,723,744,918,652
